"id","id_covid19brazil_git","administrative_area_level","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population"
"af7f97fb","N",2,"Região Norte",,,,
"fc32b0c8","NE",2,"Região Nordeste",,,,
"035edcd4","SE",2,"Região Sudeste",,,,
"cc79fb22","S",2,"Região Sul",,,,
"a949279b","CO",2,"Região Centro-Oeste",,,,
"92c90932","AC",3,"Região Norte","Acre",,,
"167748ec","AP",3,"Região Norte","Amapá",,,
"75712435","AM",3,"Região Norte","Amazonas",,,
"2f1e4b0e","PA",3,"Região Norte","Pará",,,
"fa90048b","RO",3,"Região Norte","Rondônia",,,
"99966852","RR",3,"Região Norte","Roraima",,,
"accaa30d","TO",3,"Região Norte","Tocantins",,,
"027614a3","AL",3,"Região Nordeste","Alagoas",,,
"57ea3bdd","BA",3,"Região Nordeste","Bahia",,,
"499cce85","CE",3,"Região Nordeste","Ceará",,,
"d0722712","MA",3,"Região Nordeste","Maranhão",,,
"b6171ab4","PB",3,"Região Nordeste","Paraíba",,,
"28738f17","PE",3,"Região Nordeste","Pernambuco",,,
"21c5c33c","PI",3,"Região Nordeste","Piauí",,,
"8d97341d","RN",3,"Região Nordeste","Rio Grande do Norte",,,
"035edcd4","SE",3,"Região Nordeste","Sergipe",,,
"eb12dc52","ES",3,"Região Sudeste","Espírito Santo",,,
"39118227","MG",3,"Região Sudeste","Minas Gerais",,,
"8afaf004","RJ",3,"Região Sudeste","Rio de Janeiro",,,
"6e83383f","SP",3,"Região Sudeste","São Paulo",,,
"aba00ad0","PR",3,"Região Sul","Paraná",,,
"ee9158c4","RS",3,"Região Sul","Rio Grande do Sul",,,
"ea3d79e1","SC",3,"Região Sul","Santa Catarina",,,
"9fd409f8","DF",3,,"Distrito Federal",,,
"cd25e29f","GO",3,"Região Centro-Oeste","Goiás",,,
"bdafc3f9","MT",3,"Região Centro-Oeste","Mato Grosso",,,
"23cb565a","MS",3,"Região Centro-Oeste","Mato Grosso do Sul",,,
"92c90932","AC",3,,,,,
"167748ec","AP",3,,,,,
"75712435","AM",3,,,,,
"2f1e4b0e","PA",3,,,,,
"fa90048b","RO",3,,,,,
"99966852","RR",3,,,,,
"accaa30d","TO",3,,,,,
"027614a3","AL",3,,,,,
"57ea3bdd","BA",3,,,,,
"499cce85","CE",3,,,,,
"d0722712","MA",3,,,,,
"b6171ab4","PB",3,,,,,
"28738f17","PE",3,,,,,
"21c5c33c","PI",3,,,,,
"8d97341d","RN",3,,,,,
"54d3a1ef","SE3",3,,,,,
"eb12dc52","ES",3,,,,,
"39118227","MG",3,,,,,
"8afaf004","RJ",3,,,,,
"6e83383f","SP",3,,,,,
"aba00ad0","PR",3,,,,,
"ee9158c4","RS",3,,,,,
"ea3d79e1","SC",3,,,,,
"9fd409f8","DF",3,,,,,
"cd25e29f","GO",3,,,,,
"bdafc3f9","MT",3,,,,,
"23cb565a","MS",3,,,,,
