"id","id_gob.ar","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","latitude","longitude","population","population_data_source","population_data_source_url"
,,,,,,,,,"-",,,,,
"d1fd62bb",6,2,"Buenos Aires",,,"ARG.1_1","ChIJ2YFSWbe87ZURRKHw3PwJ00o","AR.BA","06",-37.147916795,-60.1344491791543,15625084,"Statoids (2010)","http://www.statoids.com/uar.html"
"2185f6cf",10,2,"Catamarca",,,"ARG.2_1","ChIJvdQKAsVdIJQR3MJsfSPDVzI","AR.CT","10",-27.634918215,-67.4916266569923,367828,"Statoids (2010)","http://www.statoids.com/uar.html"
"e4a6c420",22,2,"Chaco",,,"ARG.3_1","ChIJR3LI4_rvQJQRleyel8CWr04","AR.CC","22",-26.04924679,-60.6918502132331,1055259,"Statoids (2010)","http://www.statoids.com/uar.html"
"e3cb0039",26,2,"Chubut",,,"ARG.4_1","ChIJR3BXosaj4r0RKKImS45F1No","AR.CH","26",-44.00166702,-68.4708734800261,509108,"Statoids (2010)","http://www.statoids.com/uar.html"
"d690a6a2",2,2,"Ciudad de Buenos Aires",,"Buenos Aires","ARG.5_1","ChIJu39FBT3KvJURF8D35_z0YOE","AR.DF","02",-34.62111092,-58.4342692756502,2890151,"Statoids (2010)","http://www.statoids.com/uar.html"
"26e832d6",14,2,"Córdoba",,,"ARG.6_1","ChIJNcbaCaHULJQRnokOgQ8wLec","AR.CB","14",-32.25216484,-63.6323584135882,3308876,"Statoids (2010)","http://www.statoids.com/uar.html"
"2f5e7efd",18,2,"Corrientes",,,"ARG.7_1","ChIJs6lQkqyLTJQRDX3jVziDc4s","AR.CN","18",-29.003835675,-57.8016423383841,992595,"Statoids (2010)","http://www.statoids.com/uar.html"
"13b3944d",30,2,"Entre Ríos",,,"ARG.8_1","ChIJvy9Iut1RpZURgmPU3PBLKGk","AR.ER","30",-32.102638245,-59.4220957277735,1235994,"Statoids (2010)","http://www.statoids.com/uar.html"
"14de5054",34,2,"Formosa",,,"ARG.9_1","ChIJpwz0Xr4sapQRRF1cxa5GtKA","AR.FM","34",-24.66732502,-60.0955370173357,530162,"Statoids (2010)","http://www.statoids.com/uar.html"
"1d681c7f",38,2,"Jujuy",,,"ARG.10_1","ChIJhwBc5_ahBJQReU7OMLKRXoE","AR.JY","38",-23.19677734,-66.035492140212,673307,"Statoids (2010)","http://www.statoids.com/uar.html"
"b2fc63a6",42,2,"La Pampa",,,"ARG.11_1","ChIJ6TZppA1t3JURyFjyX753Fqw","AR.LP","42",-37.15555382,-65.8170147602372,318951,"Statoids (2010)","http://www.statoids.com/uar.html"
"b591a7bf",46,2,"La Rioja",,,"ARG.12_1","ChIJm_z9wv8FKJQRYHNdBKV3wbc","AR.LR","46",-29.858521465,-66.8092447295435,333642,"Statoids (2010)","http://www.statoids.com/uar.html"
"45e933cb",50,2,"Mendoza",,,"ARG.13_1","ChIJ_f_VXVt0eZYRJHgEHW9YAgk","AR.MZ","50",-34.771865845,-68.4709661091667,1738929,"Statoids (2010)","http://www.statoids.com/uar.html"
"4284f7d2",54,2,"Misiones",,,"ARG.14_1","ChIJM-NMXSQR-JQRHVqx6381Xfs","AR.MN","54",-26.833618165,-54.3892031323154,1101593,"Statoids (2010)","http://www.statoids.com/uar.html"
"4b32bbf9",58,2,"Neuquén",,,"ARG.15_1","ChIJiRjkWq1rDZYRL9Kzu9ExMIw","AR.NQ","58",-38.59080696,-69.5433109117244,551266,"Statoids (2010)","http://www.statoids.com/uar.html"
"80ca0124",62,2,"Río Negro",,,"ARG.16_1","ChIJC1OmsMSC4pUR266wM__G38I","AR.RN","62",-39.793367385,-66.4395310729896,638645,"Statoids (2010)","http://www.statoids.com/uar.html"
"87a7c53d",66,2,"Salta",,,"ARG.17_1","ChIJx9DqOCkNG5QRmHnD9tEbSos","AR.SA","66",-24.20046902,-63.251199720197,1214441,"Statoids (2010)","http://www.statoids.com/uar.html"
"77df5149",70,2,"San Juan",,,"ARG.18_1","ChIJl9Q8oylAgZYR37HjZ-P_UjU","AR.SJ","70",-30.502604485,-68.8030032337029,681055,"Statoids (2010)","http://www.statoids.com/uar.html"
"70b29550",74,2,"San Luis",,,"ARG.19_1","ChIJPdeaUuQ71JURRryKvYMe7l0","AR.SL","74",-33.933448795,-65.9348641788992,432310,"Statoids (2010)","http://www.statoids.com/uar.html"
"7904d97b",78,2,"Santa Cruz",,,"ARG.20_1","ChIJX1N_w_37tr0RfCPI_XcNueQ","AR.SC","78",-49.197221755,-70.4013781423767,273964,"Statoids (2010)","http://www.statoids.com/uar.html"
"1e492caa",82,2,"Santa Fe",,,"ARG.21_1","ChIJbxhssh7ASpQRvDtaZyBOPo4","AR.SF","82",-31.19031429,-60.9963778521671,3194537,"Statoids (2010)","http://www.statoids.com/uar.html"
"1924e8b3",86,2,"Santiago del Estero",,,"ARG.22_1","ChIJzxmuSU-oJZQRpZuk02QcO-I","AR.SE","86",-28.064320565,-63.4388117609495,874006,"Statoids (2010)","http://www.statoids.com/uar.html"
"ee31b8de",94,2,"Tierra del Fuego",,,"ARG.23_1","ChIJISlD2c8iTLwRjdjwjDVU7oA","AR.TF","94",-53.800001145,-68.1640989656093,127205,"Statoids (2010)","http://www.statoids.com/uar.html"
"e95c7cc7",90,2,"Tucumán",,,"ARG.24_1","ChIJWUwJqOlFIpQR_QxdHCqFwuk","AR.TM","90",-27.03806305,-65.3688013664519,1448188,"Statoids (2010)","http://www.statoids.com/uar.html"
"c6640570",6854,3,"Buenos Aires","25 de Mayo",,"ARG.1.124_1","ChIJNTpy39xnvpURzWh5D-aZMEs","AR.BA.VM","06854",-35.5562915802002,-60.284291681305,35842,"Statoids (2010)","http://www.statoids.com/yar.html"
"72a4a445",6588,3,"Buenos Aires","9 de Julio",,"ARG.1.85_1","ChIJpUEEf510v5URNF0TiKcA9l8","AR.BA.NJ","06588",-35.5210914611816,-60.9244894056825,47722,"Statoids (2010)","http://www.statoids.com/yar.html"
"2c09f137",6007,3,"Buenos Aires","Adolfo Alsina",,"ARG.1.1_1","ChIJeV8qz0eJ6ZURfDKn85AdGVM","AR.BA.AA","06007",-37.1634902954102,-62.9677646462947,17072,"Statoids (2010)","http://www.statoids.com/yar.html"
"ac1b91cc",6014,3,"Buenos Aires","Adolfo Gonzales Chaves",,"ARG.1.2_1","ChIJ9_JGTs1KkpURZMNZ85RK7Rs","AR.BA.AC","06014",-37.9392776489258,-60.2876742169095,12047,"Statoids (2010)","http://www.statoids.com/yar.html"
"f75c3680",6021,3,"Buenos Aires","Alberti",,"ARG.1.3_1","ChIJmxAZ-CrBvpUR-_yT4e55w8Y","AR.BA.AL","06021",-35.0305938720703,-60.2866012952458,10654,"Statoids (2010)","http://www.statoids.com/yar.html"
"8e808e24",6028,3,"Buenos Aires","Almirante Brown",,"ARG.1.4_1","ChIJI5GNLh4to5URpkUocyVBASA","AR.BA.AB","06028",-34.8354663848877,-58.3781072660489,552902,"Statoids (2010)","http://www.statoids.com/yar.html"
"634867f0",6077,3,"Buenos Aires","Arrecifes",,"ARG.1.6_1","ChIJE37ekTiDuZURCcne59JxJIQ","AR.BA.BM","06077",-34.0089416503906,-60.014283335775,29044,"Statoids (2010)","http://www.statoids.com/yar.html"
"e92ac3d8",6035,3,"Buenos Aires","Avellaneda",,"ARG.1.7_1","ChIJ14EM2bzMvJURkaCAfSuL7F4","AR.BA.AV","06035",-34.6820430755615,-58.3372017601028,342677,"Statoids (2010)","http://www.statoids.com/yar.html"
"380fc0bc",6042,3,"Buenos Aires","Ayacucho",,"ARG.1.8_1","ChIJeYxXgkemkJURKIjrLcBtoFU","AR.BA.AY","06042",-36.9778709411621,-58.5972262857808,20337,"Statoids (2010)","http://www.statoids.com/yar.html"
"afdd1934",6049,3,"Buenos Aires","Azul",,"ARG.1.9_1","ChIJz3n0ZQ6YlpURt550cSZY9-g","AR.BA.AZ","06049",-36.8375835418701,-59.6821285642165,65280,"Statoids (2010)","http://www.statoids.com/yar.html"
"267935e4",6056,3,"Buenos Aires","Bahía Blanca",,"ARG.1.10_1","ChIJ_Qg5eS-v7ZURkJ8Tr_dW7oQ","AR.BA.BB","06056",-38.580602645874,-62.1857078853427,301572,"Statoids (2010)","http://www.statoids.com/yar.html"
"7d3e92a8",6063,3,"Buenos Aires","Balcarce",,"ARG.1.11_1","ChIJLxbK7wakmpURN2h1gzE7-44","AR.BA.BC","06063",-37.7694339752197,-58.1900727729907,43823,"Statoids (2010)","http://www.statoids.com/yar.html"
"fd2cf253",6070,3,"Buenos Aires","Baradero",,"ARG.1.12_1","ChIJA_UDCqZKupURtAN6M3WexwM","AR.BA.BD","06070",-33.9121398925781,-59.4443699496023,32761,"Statoids (2010)","http://www.statoids.com/yar.html"
"7dd92a85",6084,3,"Buenos Aires","Benito Juárez",,"ARG.1.13_1","ChIJIW8f20ffk5URfo3Bh_5R4D4","AR.BA.BJ","06084",-37.5643920898437,-59.8863758116255,20239,"Statoids (2010)","http://www.statoids.com/yar.html"
"14a8ef4b",6091,3,"Buenos Aires","Berazategui",,"ARG.1.14_1","ChIJceyBPlzXopURu-lEZftn2oc","AR.BA.BZ","06091",-34.8457851409912,-58.1419775224556,324244,"Statoids (2010)","http://www.statoids.com/yar.html"
"6d7457ef",6098,3,"Buenos Aires","Berisso",,"ARG.1.15_1","ChIJ64RatgPwopURONNDc1C43Ik","AR.BA.BS","06098",-34.9002780914307,-57.8550572830126,88470,"Statoids (2010)","http://www.statoids.com/yar.html"
"c3c5fa2c",6105,3,"Buenos Aires","Bolívar",,"ARG.1.16_1","ChIJfYPr56Xiv5URGAeMsqC0bNM","AR.BA.BO","06105",-36.2855911254883,-61.1490850411866,34190,"Statoids (2010)","http://www.statoids.com/yar.html"
"44ba5ece",6112,3,"Buenos Aires","Bragado",,"ARG.1.17_1","ChIJpfk56g4ov5URP5xEDqX6Mts","AR.BA.BG","06112",-35.0323638916016,-60.6044331184667,41336,"Statoids (2010)","http://www.statoids.com/yar.html"
"d3688746",6119,3,"Buenos Aires","Brandsen",,"ARG.1.18_1","ChIJmT7W97W5opURcoex71ISGKk","AR.BA.BR","06119",-35.1972312927246,-58.2346904901368,26367,"Statoids (2010)","http://www.statoids.com/yar.html"
"68fac914",6126,3,"Buenos Aires","Campana",,"ARG.1.19_1","ChIJketB0tltu5URcmDrSeeSOP0","AR.BA.CM","06126",-34.1608371734619,-58.8946841111819,94461,"Statoids (2010)","http://www.statoids.com/yar.html"
"9fef9979",6134,3,"Buenos Aires","Cañuelas",,"ARG.1.20_1","ChIJRfEmgzE9vZURYJMDGB1vpTo","AR.BA.CL","06134",-35.1592330932617,-58.7248488004586,51892,"Statoids (2010)","http://www.statoids.com/yar.html"
"d7c3cba7",6140,3,"Buenos Aires","Capitán Sarmiento",,"ARG.1.21_1","ChIJodRwwZt9uZURRZXOPQSLeog","AR.BA.CS","06140",-34.1459178924561,-59.8501763262022,14494,"Statoids (2010)","http://www.statoids.com/yar.html"
"49a75e04",6147,3,"Buenos Aires","Carlos Casares",,"ARG.1.22_1","ChIJAXS1Dil-wJURe5-X2GeTySU","AR.BA.CC","06147",-35.7181148529053,-61.3153802870358,22237,"Statoids (2010)","http://www.statoids.com/yar.html"
"c9b53eff",6154,3,"Buenos Aires","Carlos Tejedor",,"ARG.1.23_1","ChIJDWx8_DM0wZURFe17s90SIXI","AR.BA.CT","06154",-35.3922157287597,-62.4307563704353,11570,"Statoids (2010)","http://www.statoids.com/yar.html"
