"id","id_sciensano.be","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
,,,,,,,,,"-",,,,
"1bb2de77","Brussels",2,"Bruxelles",,"Brussels","BEL.1_1","Brussels",,,"BE1",50.83866501,4.36682673564255,1208542
"b1a17459","Flanders",2,"Vlaanderen",,,"BEL.2_1","Flanders",,,"BE2",51.09333229,4.18082694851182,6589069
"27e2b6a0","Wallonia",2,"Wallonie",,,"BEL.3_1","Wallonia",,,"BE3",50.153081895,5.41806775206372,3633795
"1a7b7a6a","Brussels",3,"Bruxelles","Bruxelles",,"BEL.1.1_1",,"BEBRU",,"BE10",50.83866501,4.36682673564255,1208542
"3e028814","Antwerpen",3,"Vlaanderen","Antwerpen",,"BEL.2.1_1",,"BEVAN",,"BE21",51.252593995,4.76433117351619,1857986
"602331fd","Limburg",3,"Vlaanderen","Limburg",,"BEL.2.2_1",,"BEVLI",,"BE22",50.994646075,5.43898830304919,874048
"7fbf9748","OostVlaanderen",3,"Vlaanderen","Oost-Vlaanderen",,"BEL.2.3_1",,"BEVOV",,"BE23",51.041179655,3.81769411987337,1515064
"8b9ddc79","VlaamsBrabant",3,"Vlaanderen","Vlaams Brabant",,"BEL.2.4_1",,"BEVBR",,"BE24",50.867437365,4.79117699884508,1146175
"100bd334","WestVlaanderen",3,"Vlaanderen","West-Vlaanderen",,"BEL.2.5_1",,"BEVWV",,"BE25",51.035203935,3.00499725496945,1195796
"601b6a8c","BrabantWallon",3,"Wallonie","Brabant Wallon",,"BEL.3.1_1",,"BEWAL",,"BE31",50.66338539,4.55069325963109,403599
"17b9524e","Hainaut",3,"Wallonie","Hainaut",,"BEL.3.2_1",,"BEWHT",,"BE32",50.352529525,4.31320802888469,1344241
"5077dea8","Liège",3,"Wallonie","Liège",,"BEL.3.3_1",,"BEWLG",,"BE33",50.471443175,5.77740131050648,1106992
"80cfc83d","Luxembourg",3,"Wallonie","Luxembourg",,"BEL.3.4_1",,"BEWLX",,"BE34",49.9621563,5.43834233978639,284638
"ba6fcc21","Namur",3,"Wallonie","Namur",,"BEL.3.5_1",,"BEWNA",,"BE35",50.21654701,4.80938684535891,494325
