"id","id_github.covid19datahub.covid19br","id_github.oxcgrt.covidpolicytracker","id_github.wcota.covid19br","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source","population_data_source_url"
,,,,,,,,,,,,"-",,,,,
"92c90932",,"BR_AC","AC",2,"Acre",,"Acre","BRA.1_1","ChIJuQaRTqqNf5ERwQc2CMUK7CU","BR.AC","BRAC","12",-9.133259295,-70.6910938543083,894470,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"027614a3",,"BR_AL","AL",2,"Alagoas",,"Alagoas","BRA.2_1","ChIJmw1SLyP9AAcRLfY9f-U5LX4","BR.AL","BRAL","27",-9.658471585,-36.6837287660877,3351543,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"167748ec",,"BR_AP","AP",2,"Amapá",,"Amapá","BRA.3_1","ChIJIXuZzXM9ZY0R1Lz2dkVhGpE","BR.AP","BRAP","16",1.60375047,-52.0107230488049,861773,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"75712435",,"BR_AM","AM",2,"Amazonas",,"Amazonas","BRA.4_1","ChIJ0W4di1w_GJIR-i48a_ZqbRc","BR.AM","BRAM","13",-3.771977545,-63.4270484287296,4207714,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"57ea3bdd",,"BR_BA","BA",2,"Bahia",,"Bahia","BRA.5_1","ChIJs6U8onwDFgcRBe2RtF9vkn4","BR.BA","BRBA","29",-13.441805365,-42.6480350628713,14930634,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"499cce85",,"BR_CE","CE",2,"Ceará",,"Ceará","BRA.6_1","ChIJxYbmJxizvQcRQniVr-A1tDs","BR.CE","BRCE","23",-5.32744646,-39.3705084289905,9187103,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"9fd409f8",,"BR_DF","DF",2,"Distrito Federal",,"Distrito Federal (Brazil)","BRA.7_1","ChIJ1wSIEPI6WpMRVlAUyZAjuj4","BR.DF","BRDF","53",-15.77665901,-47.7801110575224,3055149,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"b53hd720",,"BR_ES","ES",2,"Espirito Santo",,"Espírito Santo","BRA.8_1","ChIJWWNkeZUGtwARmfdQPCTVG04","BR.ES","BRES","32",-19.594584465,-40.4306722431578,4064052,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"cd25e29f",,"BR_GO","GO",2,"Goiás",,"Goiás","BRA.9_1","ChIJ9SC5hmO5XZMR0_CMzfjYxgg","BR.GO","BRGO","52",-15.94858551,-50.2598541494121,7113540,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"d0722712",,"BR_MA","MA",2,"Maranhão",,"Maranhão","BRA.10_1","ChIJ5RzMm3rX7QcRNCls2aOrdmI","BR.MA","BRMA","21",-5.65464449,-45.2792428641905,7114598,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"bdafc3f9",,"BR_MT","MT",2,"Mato Grosso",,"Mato Grosso","BRA.12_1","ChIJGQM3SOexnZMR-4EhfeJoYsY","BR.MT","BRMT","51",-12.695014475,-55.3632968317503,3526220,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"23cb565a",,"BR_MS","MS",2,"Mato Grosso do Sul",,"Mato Grosso do Sul","BRA.11_1","ChIJg3Of4tuRfpQRrBBUaenYHDU","BR.MS","BRMS","50",-20.615773205,-54.786057161055,2809394,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"39118227",,"BR_MG","MG",2,"Minas Gerais",,"Minas Gerais","BRA.13_1","ChIJiUIyZaGQpgARs-edN8lwIRE","BR.MG","BRMG","31",-18.580682755,-45.186528461949,21292666,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"2f1e4b0e",,"BR_PA","PA",2,"Pará",,"Pará","BRA.14_1","ChIJlwksrJn5iJIRCvNV5z7IXjE","BR.PA","BRPA","15",-3.609540105,-51.9868404722116,8690745,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"b6171ab4",,"BR_PB","PB",2,"Paraíba",,"Paraíba","BRA.15_1","ChIJz8iY7rZMpQcRtAE8MiSbKB8","BR.PB","BRPB","25",-7.164583685,-36.7384994235055,4039277,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"aba00ad0",,"BR_PR","PR",2,"Paraná",,"Paraná","BRA.16_1","ChIJnWK4MJQL25QRYfDOY1D9k-g","BR.PR","BRPR","41",-24.61798954,-51.82070923,11516840,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"28738f17",,"BR_PE","PE",2,"Pernambuco",,"Pernambuco","BRA.17_1","ChIJxYYck518AAcRJhdAk2oZ4B0","BR.PE","BRPE","26",-8.37904787,-37.902039620141,9616621,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"21c5c33c",,"BR_PI","PI",2,"Piauí",,"Piauí","BRA.18_1","ChIJj7KAcHzlggcRpZT2BFRx51o","BR.PI","BRPI","22",-6.836740975,-41.9004431609435,3281480,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"8afaf004",,"BR_RJ","RJ",2,"Rio de Janeiro",,"Rio de Janeiro (state)","BRA.19_1","ChIJw4riypQYmAAR0IMFwRrDSQM","BR.RJ","BRRJ","33",-22.06694317,-42.0633655677008,17366189,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"8d97341d",,"BR_RN","RN",2,"Rio Grande do Norte",,"Rio Grande do Norte","BRA.20_1","ChIJreroSfVNsAcRxJ5NHKwJJak","BR.RN","BRRN","24",-5.90694499,-36.6501189247729,3534165,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"ee9158c4",,"BR_RS","RS",2,"Rio Grande do Sul",,"Rio Grande do Sul","BRA.21_1","ChIJA1i0QAxyBJUR3nOfr9uzn60","BR.RS","BRRS","43",-30.413887975,-53.8298206149524,11422973,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"fa90048b",,"BR_RO","RO",2,"Rondônia",,"Rondônia","BRA.22_1","ChIJV2tRb9lcMpIR3SEGNNVjN3M","BR.RO","BRRO","11",-10.76389933,-63.4124697121552,1796460,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"99966852",,"BR_RR","RR",2,"Roraima",,"Roraima","BRA.23_1","ChIJW_TM33EGk40RFHqcnvIAX2k","BR.RR","BRRR","14",1.842274545,-61.1966382264547,631181,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"ea3d79e1",,"BR_SC","SC",2,"Santa Catarina",,"Santa Catarina","BRA.24_1","ChIJ-f9SwCVN2ZQRK6t_7YB1Jys","BR.SC","BRSC","42",-27.65371704,-50.0141594021111,7252502,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"6e83383f",,"BR_SP","SP",2,"São Paulo",,"São Paulo (state)","BRA.25_1","ChIJrVgvRn1ZzpQRF3x74eJBUh4","BR.SP","BRSP","35",-22.523111345,-49.2695513203299,46289333,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"035edcd4",,"BR_SE","SE",2,"Sergipe",,"Sergipe","BRA.26_1","ChIJIRZgFj-9BQcR2fH-ZmvKyqw","BR.SE","BRSE","28",-10.61000013,-37.2349400239618,2318822,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"accaa30d",,"BR_TO","TO",2,"Tocantins",,"Tocantins","BRA.27_1","ChIJlzmxUh9QI5MRbDnMRWKG1OM","BR.TO","BRTO","17",-9.316783905,-48.4305362359692,1590248,"Instituto Brasileiro de Geografia e Estatistica - IBGE (2020)","https://www.ibge.gov.br/en/cities-and-states.html"
"d5d8d51e",1200013,"BR_AC","1200013",3,"Acre","Acrelândia",,"BRA.1.1_1",,,"BRAC1200013","1200013",-9.91320276,-66.8493704926243,15490,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"2fd085b9",1200054,"BR_AC","1200054",3,"Acre","Assis Brasil",,"BRA.1.2_1",,,"BRAC1200054","1200054",-10.875595095,-70.0877116542575,7534,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"53651bcb",1200104,"BR_AC","1200104",3,"Acre","Brasiléia",,"BRA.1.3_1","ChIJm4g9Bje3fpERnpwI2L71NRQ",,"BRAC1200104","1200104",-10.75472355,-69.2857807354543,26702,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"71fe0423",1200138,"BR_AC","1200138",3,"Acre","Bujari",,"BRA.1.4_1",,,"BRAC1200138","1200138",-9.58899069,-68.265605900223,10420,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"6295f1b1",1200179,"BR_AC","1200179",3,"Acre","Capixaba",,"BRA.1.5_1",,,"BRAC1200179","1200179",-10.4580245,-67.8765817080986,12008,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"cf473031",1200203,"BR_AC","1200203",3,"Acre","Cruzeiro do Sul",,"BRA.1.6_1","ChIJT7_ApAtamJERggvNbhoaX_Y",,"BRAC1200203","1200203",-8.011283875,-72.8263831778929,89072,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"c537f4e2",1200252,"BR_AC","1200252",3,"Acre","Epitaciolândia",,"BRA.1.7_1","ChIJM4oUnLSwfpERYW8j6c1XCJ0",,"BRAC1200252","1200252",-10.906055925,-68.3749008963221,18696,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"b9826a90",1200302,"BR_AC","1200302",3,"Acre","Feijó",,"BRA.1.8_1","ChIJAW1qVhfHnJER0Gcg4Fx8waU",,"BRAC1200302","1200302",-9.050089835,-71.0093231179234,34884,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"6b61e10c",1200328,"BR_AC","1200328",3,"Acre","Jordão",,"BRA.1.9_1",,,"BRAC1200328","1200328",-9.225854395,-71.8627644612506,8473,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"95c2fd4a",1200336,"BR_AC","1200336",3,"Acre","Mâncio Lima",,"BRA.1.10_1",,,"BRAC1200336","1200336",-7.440909625,-73.4931597590878,19311,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"348d0aa1",1200344,"BR_AC","1200344",3,"Acre","Manoel Urbano",,"BRA.1.11_1",,,"BRAC1200344","1200344",-9.4927001,-69.9736867737269,9581,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"5dfccf6f",1200351,"BR_AC","1200351",3,"Acre","Marechal Thaumaturgo",,"BRA.1.12_1",,,"BRAC1200351","1200351",-9.08526945,-72.4853196195428,19299,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"ef3f753b",1200385,"BR_AC","1200385",3,"Acre","Plácido de Castro",,"BRA.1.13_1",,,"BRAC1200385","1200385",-10.246488095,-67.2545664653339,19955,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
