"id","id_admin.ch","id_github.openzh.covid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,,,"-",,,,,,
"28dde504","AG","AG",2,"Aargau",,"Canton of Aargau","CHE.1_1","ChIJK32y9fMXkEcRfc5XB_gNGvg","CH.AG","AG","CH033",47.38207817,8.21456306226833,671000,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"450001ef","AR","AR",2,"Appenzell Ausserrhoden",,"Canton of Appenzell Ausserrhoden","CHE.2_1","ChIJ979wCHEfm0cRD6-ER66wR4E","CH.AR","AR","CH053",47.359020235,9.27961843142229,55200,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"cf65c803","AI","AI",2,"Appenzell Innerrhoden",,"Canton of Appenzell Innerrhoden","CHE.3_1","ChIJh1Ha4mQXm0cRT4yedLMmXbA","CH.AI","AI","CH054",47.310995105,9.405282133634,16100,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"192a62ba","BS","BS",2,"Basel-Stadt",,"Canton of Basel-Stadt","CHE.5_1","ChIJZW5Lc163kUcR_qJqDx28q3Y","CH.BS","BS","CH031",47.56157875,7.58553076621778,193900,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"94226f4f","BL","BL",2,"Baselland",,"Canton of Basel-Landschaft","CHE.4_1","ChIJNQdrO_i1kUcRE3lb88jFOqw","CH.BL","BL","CH032",47.453187945,7.82059326975951,287000,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"edfed7eb","BE","BE",2,"Bern",,"Canton of Bern","CHE.6_1","ChIJdxs61MA5jkcRoBDj6pdqoAg","CH.BE","BE","CH021",46.839393615,7.60446860497576,1031100,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"0a419728","FR","FR",2,"Fribourg",,"Canton of Fribourg","CHE.7_1","ChIJf_oOyunYjUcRAJfu1-gz8bg","CH.FR","FR","CH022",46.72403717,7.11397022562513,315100,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"908923ae","GE","GE",2,"Geneve",,"Canton of Geneva","CHE.8_1","ChIJ5c1jUUNkjEcRgNgYQIj_AAE","CH.GE","GE","CH013",46.24211693,6.20987600561404,495200,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"e9559b0a","GL","GL",2,"Glarus",,"Canton of Glarus","CHE.9_1","ChIJG4ysI7EthUcRVROZoIdLIuw","CH.GL","GL","CH051",46.98761177,9.094412348289,40300,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"135aa669","GR","GR",2,"Graubunden",,"Canton of Graubünden","CHE.10_1","ChIJGwykPoKRhEcRENgYQIj_AAE","CH.GR","GR","CH056",46.6126976,9.55634270603518,197900,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"38904d87","JU","JU",2,"Jura",,"Canton of Jura","CHE.11_1","ChIJtV6GwMXkkUcRkNgYQIj_AAE","CH.JU","JU","CH025",47.32878304,7.28944019627329,73300,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"6ecaea01","LU","LU",2,"Luzern",,"Canton of Lucerne","CHE.12_1","ChIJIQ3mFsjlj0cRINcYQIj_AAE","CH.LU","LU","CH061",47.0329361,8.1955131106327,406500,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"414b98e7","NE","NE",2,"Neuchatel",,"Canton of Neuchâtel","CHE.13_1","ChIJxargAWHmjUcR_VjopE8rdzw","CH.NE","NE","CH024",47.005607605,6.83408512683001,178000,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"b2f2e9af","NW","NW",2,"Nidwalden",,"Canton of Nidwalden","CHE.14_1","ChIJ58I7cff1j0cRYNcYQIj_AAE","CH.NW","NW","CH065",46.889152525,8.40555106819397,43000,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"abe9d8ee","OW","OW",2,"Obwalden",,"Canton of Obwalden","CHE.15_1","ChIJ7zEf3Ufyj0cRO9o02ufd0UM","CH.OW","OW","CH064",46.867803575,8.20221398948543,37600,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"c0968846","SH","SH",2,"Schaffhausen",,"Canton of Schaffhausen","CHE.17_1","ChIJj3-TjqF3kEcRhTthzBjvZsc","CH.SH","SH","CH052",47.723424915,8.58538814138963,81400,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"332ff90e","SZ","SZ",2,"Schwyz",,"Canton of Schwyz","CHE.18_1","ChIJNX_63JZLhUcRYFgHLO5Xzb0","CH.SZ","SZ","CH063",47.05934334,8.70387479781487,157300,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"5ef21de5","SO","SO",2,"Solothurn",,"Canton of Solothurn","CHE.19_1","ChIJyQT15fgkjkcRNQMSD5syOis","CH.SO","SO","CH023",47.2887249,7.57625513581964,271400,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
"502995d7","SG","SG",2,"St.Gallen",,"Canton of St. Gallen","CHE.16_1","ChIJoRAKiyTDmkcR6o3KFbp6rgs","CH.SG","SG","CH055",47.20368576,9.22924855088422,504700,"https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office (2018)"
