"id","id_github.minciencia.datoscovid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,"-",,,
"d4cef17c","Antofagasta",2,"Antofagasta",,"CHL.2_1","ChIJczaOlqKJpZYRLWxXNFXeQu0","CLAN","02",-23.442500115,-68.8645332065525,691854
"431c28f4","Araucanía",2,"Araucania",,"CHL.3_1","ChIJXcfo0MiyFJYRBgahIIUY3TE","CLAR","09",-38.65208435,-72.1927122062966,1014343
"f4bd35d2","Arica y Parinacota",2,"Arica y Parinacota",,"CHL.4_1","ChIJEQWs7gx-WpERH_0UYq_-Tn4","CLAP","15",-18.31273079,-69.5954389980618,252110
"a3c9c1ea","Atacama",2,"Atacama",,"CHL.5_1","ChIJXyWul5E3kZYRNDjx8hodVB4","CLAT","03",-27.492777825,-69.9427692856944,314709
"f3d0f1cb","Aysén",2,"Aysén",,"CHL.1_1","ChIJEW0Xuf2kir0R8_7BupS9_Ms","CLAI","11",-46.427778245,-72.7174040121186,107297
"341b1862","Biobío",2,"Biobío",,"CHL.6_1","ChIJJ2I4O0tIaJYRUcPgDN5T5cg","CLBI","08",-37.442083355,-72.3591832417215,1663696
"3dad5449","Coquimbo",2,"Coquimbo",,"CHL.7_1","ChIJlwJR-DU4iZYRoQPPxe4umIU","CLCO","04",-30.645692825,-70.9700718452054,836096
"84d7c15d","Los Lagos",2,"Los Lagos",,"CHL.9_1","ChIJ6fJlCK47GJYRi_izE_gxn28","CLLL","10",-42.133609775,-72.1135421061078,891440
"83ba0544","Los Ríos",2,"Los Ríos",,"CHL.10_1","ChIJWb_RpcmBFpYRjswu7I9LtWE","CLLR","14",-40.026388165,-72.681506283995,405835
"6ad9a071","Magallanes",2,"Magallanes",,"CHL.11_1","ChIJTbM2xJs_UrwRdsqdI0JNjXM","CLMA","12",-51.29902077,-73.0003455602414,178362
"a4a405f3","Maule",2,"Maule",,"CHL.12_1","ChIJoRI7r6JUZJYRgJtZAXiVauQ","CLML","07",-35.59166527,-71.5105403844753,1131939
"1dde90e7","Metropolitana",2,"Metropolitana",,"CHL.14_1","ChIJUR74fWpvYpYR2oNLRG3CzWA","CLRM","13",-33.62000084,-70.6501351518271,8125072
"6db46468","Ñuble",2,"Ñuble",,"CHL.13_1","ChIJcZihAkzVbpYRrgOvwC2F4XE","CLNB","16",-36.58073425,-71.877116241576,511551
"d3a33565","O’Higgins",2,"O'Higgins",,"CHL.8_1","ChIJKZ0BY11DY5YRqX7hWhgM3Rc","CLLI","06",-34.403196335,-71.0205835089163,991063
"4dc7a0c6","Tarapacá",2,"Tarapacá",,"CHL.15_1","ChIJFevuW0dlUZER_NjmLCvrPwM","CLTA","01",-20.193638805,-69.4238007241125,382773
"4aaa64df","Valparaíso",2,"Valparaíso",,"CHL.16_1","ChIJgQQv5TIRiJYRXsgoZ5nfWBE","CLVS","05",-32.96124649,-70.2868462781456,1960170
"b00041a7","2101",3,"Antofagasta","Antofagasta","CHL.2.1.1_1",,"CLAN01","02101",-24.2213888168335,-69.3739790068355,425725
"b246fffe","2201",3,"Antofagasta","Calama","CHL.2.2.1_1",,"CLAN02","02201",-22.0762357711792,-68.4586628587854,190336
"2a8dc473","2302",3,"Antofagasta","Maria Elena","CHL.2.3.1_1",,"CLAN04","02302",-22.0565605163573,-69.2949180208124,6814
"2909101d","2102",3,"Antofagasta","Mejillones","CHL.2.1.2_1",,"CLAN05","02102",-22.9194421768188,-70.1211537770411,14776
"2b4fae44","2202",3,"Antofagasta","Ollague","CHL.2.2.2_1",,"CLAN06","02202",-21.4346904754639,-68.3416911061635,287
"5c489ed2","2203",3,"Antofagasta","San Pedro de Atacama","CHL.2.2.3_1",,"CLAN07","02203",-23.344446182251,-67.9326577626607,10434
"5e0e208b","2103",3,"Antofagasta","Sierra Gorda","CHL.2.1.3_1",,"CLAN08","02103",-23.2693738937378,-69.3685574947985,1746
"c06ab528","2104",3,"Antofagasta","Taltal","CHL.2.1.4_1",,"CLAN09","02104",-25.2283315658569,-69.8235000300865,13657
"b38495c9","2301",3,"Antofagasta","Tocopilla","CHL.2.3.2_1",,"CLAN10","02301",-22.0299987792968,-69.9348360273127,28079
"654778ff","9201",3,"Araucania","Angol","CHL.3.2.1_1",,"CLAR01","09201",-37.7637138366699,-72.8767841782279,56058
"fe08971c","9102",3,"Araucania","Carahue","CHL.3.1.1_1",,"CLAR02","09102",-38.6741161346436,-73.1370421143265,25486
"5537a424","9121",3,"Araucania","Cholchol","CHL.3.1.10.2_0",,"CLAR03","09121",-38.58,-72.9,12341
"fc4e2945","9202",3,"Araucania","Collipulli","CHL.3.2.2_1",,"CLAR04","09202",-37.9391040802002,-72.2990537980755,26148
"890fa78a","9103",3,"Araucania","Cunco","CHL.3.1.2_1",,"CLAR05","09103",-38.9237499237061,-71.8958847096091,18055
"8b4919d3","9203",3,"Araucania","Curacautin","CHL.3.2.3_1",,"CLAR06","09203",-38.3775653839111,-71.6497305927199,18178
"176b3229","9104",3,"Araucania","Curarrehue","CHL.3.1.3_1",,"CLAR07","09104",-39.2889423370361,-71.5052784739202,7802
"152d8c70","9204",3,"Araucania","Ercilla","CHL.3.2.4_1",,"CLAR09","09204",-38.0425453186035,-72.2965864453997,8458
"606c02bf","9105",3,"Araucania","Freire","CHL.3.1.4_1",,"CLAR10","09105",-39.0158405303955,-72.3523382016262,25446
"f9655305","9106",3,"Araucania","Galvarino","CHL.3.1.5_1",,"CLAR11","09106",-38.4228839874268,-72.7272846821203,12633
"8e626393","9107",3,"Araucania","Gorbea","CHL.3.1.6_1",,"CLAR12","09107",-39.1838397979736,-72.6741561783197,15148
"1edd7e02","9108",3,"Araucania","Lautaro","CHL.3.1.7_1",,"CLAR13","09108",-38.4897651672363,-72.3480692507689,40746
"69da4e94","9109",3,"Araucania","Loncoche","CHL.3.1.8_1",,"CLAR14","09109",-39.4829235076904,-72.6500171347552,24739
"622abce6","9205",3,"Araucania","Lonquimay","CHL.3.2.5_1",,"CLAR15","09205",-38.4776191711425,-71.1440984007204,11049
"fb23ed5c","9206",3,"Araucania","Los Sauces","CHL.3.2.6_1",,"CLAR16","09206",-37.932451248169,-72.8297008195331,7517
"8c24ddca","9207",3,"Araucania","Lumaco","CHL.3.2.7_1",,"CLAR17","09207",-38.2626552581787,-73.054322658223,10050
"091dc771","9110",3,"Araucania","Melipeuco","CHL.3.1.9_1",,"CLAR18","09110",-38.7466697692871,-71.4942636500195,6265
"7e1af7e7","9111",3,"Araucania","Nueva Imperial","CHL.3.1.10.1_0",,"CLAR19","09111",-38.75,-72.97,33777
"e713a65d","9112",3,"Araucania","Padre Las Casas","CHL.3.1.15.2_0",,"CLAR20","09112",-38.8,-72.56,82110
"901496cb","9113",3,"Araucania","Perquenco","CHL.3.1.11_1",,"CLAR21","09113",-38.3396739959716,-72.3023043927734,7223
"0e700368","9114",3,"Araucania","Pitrufquen","CHL.3.1.12_1",,"CLAR22","09114",-39.1323795318603,-72.4377716175167,26096
"797733fe","9115",3,"Araucania","Pucon","CHL.3.1.13_1",,"CLAR23","09115",-39.2334098815918,-71.8345612455634,29782
"1c9bc05b","9208",3,"Araucania","Puren","CHL.3.2.8_1",,"CLAR24","09208",-37.9865741729736,-73.0633166954318,12188
"6b9cf0cd","9209",3,"Araucania","Renaico","CHL.3.2.9_1",,"CLAR25","09209",-37.7121105194092,-72.6249358252193,10833
