"id","id_github.oxcgrt.covidpolicytracker","id_github.cssegisanddata.covid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_hasc","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,,"-",,,
"c3fec6fd","CHN_AH","Anhui",2,"Anhui",,"CHN.1_1","CN.AH","CNAH",,32.025060655,117.151493905892,63240000
"967418fc","CHN_BJ","Beijing",2,"Beijing",,"CHN.2_1","CN.BJ","CNBJ",,40.250894545,116.62399869567,21540000
"15369211","CHN_CQ","Chongqing",2,"Chongqing",,"CHN.3_1","CN.CQ","CNCQ",,30.18792343,107.869754367177,31020000
"f7f64794","CHN_FJ","Fujian",2,"Fujian",,"CHN.4_1","CN.FJ","CNFJ",,25.95639038,118.006617998682,39410000
"520ba470","CHN_GS","Gansu",2,"Gansu",,"CHN.5_1","CN.GS","CNGS",,37.683776855,102.889882515902,26370000
"9c1147a5","CHN_GD","Guangdong",2,"Guangdong",,"CHN.6_1","CN.GD","CNGD",,22.87138939,113.484590227869,113460000
"89365c8c","CHN_GX","Guangxi",2,"Guangxi",,"CHN.7_1","CN.GX","CNGX",,23.891474725,108.983477007499,49260000
"7ce34861","CHN_GZ","Guizhou",2,"Guizhou",,"CHN.8_1","CN.GZ","CNGZ",,26.920225145,106.621969332557,36000000
"4f66aecd","CHN_HI","Hainan",2,"Hainan",,"CHN.9_1","CN.HA","CNHI",,19.160971645,109.629302975,9340000
"5ebab40a","CHN_HE","Hebei",2,"Hebei",,"CHN.10_1","CN.HB","CNHE",,39.331897735,115.666259234823,75560000
"e6323b4e","CHN_HL","Heilongjiang",2,"Heilongjiang",,"CHN.11_1","CN.HL","CNHL",,48.48430443,127.58344285531,37730000
"ada81dc9","CHN_HA","Henan",2,"Henan",,"CHN.12_1","CN.HE","CNHA",,33.87928581,113.069963947753,96050000
"6d16bf87","HKG","Hong Kong",2,"Hong Kong",,"HKG","CN.HK","CNHK",,22.3,114.2,7451000
"0ea3e395","CHN_HB","Hubei",2,"Hubei",,"CHN.13_1","CN.HU","CNHB",,31.15678692,112.876272193163,59170000
"fdb14a56","CHN_HN","Hunan",2,"Hunan",,"CHN.14_1","CN.HN","CNHN",,27.38163948,111.353965822757,68990000
"15150864","CHN_NM","Inner Mongolia",2,"Inner Mongolia",,"CHN.19_1","CN.NM","CNNM",,45.397537235,118.787416079781,25340000
"6b007a28","CHN_JS","Jiangsu",2,"Jiangsu",,"CHN.15_1","CN.JS","CNJS",,32.94665718,119.954297307683,80510000
"9cf5ffac","CHN_JX","Jiangxi",2,"Jiangxi",,"CHN.16_1","CN.JX","CNJX",,27.281518935,115.512178277147,46480000
"56e3af77","CHN_JL","Jilin",2,"Jilin",,"CHN.17_1","CN.JL","CNJL",,43.58426857,126.124365565081,27040000
"d533fea6","CHN_LN","Liaoning",2,"Liaoning",,"CHN.18_1","CN.LN","CNLN",,41.105239865,122.38896785496,43590000
"68975f51","MAC","Macau",2,"Macau",,"MAC","CN.MO","CNMO",,22.1667,113.55,631636
"dd9a4c8b","CHN_NX","Ningxia",2,"Ningxia",,"CHN.20_1","CN.NX","CNNX",,37.309328075,105.9609730755,6880000
"962801e6","CHN_QH","Qinghai",2,"Qinghai",,"CHN.21_1","CN.QH","CNQH",,35.44118118,96.0747190995788,6030000
"f25ddecd","CHN_SN","Shaanxi",2,"Shaanxi",,"CHN.22_1","CN.SA","CNSN",,35.649633405,109.562387810926,38640000
"808f63f3","CHN_SD","Shandong",2,"Shandong",,"CHN.23_1","CN.SD","CNSD",,36.32339096,118.027694782831,100470000
"f755eb50","CHN_SH","Shanghai",2,"Shanghai",,"CHN.24_1","CN.SH","CNSH",,31.095284465,121.372003872313,24240000
"ebb72ab0","CHN_SX","Shanxi",2,"Shanxi",,"CHN.25_1","CN.SX","CNSX",,37.66433525,112.460490503988,37180000
"2bde61a8","CHN_SC","Sichuan",2,"Sichuan",,"CHN.26_1","CN.SC","CNSC",,30.18181038,102.267858715328,83410000
"6e713ddf","CHN_TJ","Tianjin",2,"Tianjin",,"CHN.27_1","CN.TJ","CNTJ",,39.407136915,117.3575376841,15600000
"d27a1de8","CHN_XZ","Tibet",2,"Tibet",,"CHN.29_1","CN.XZ","CNXZ",,31.89405727,87.0733545136812,3440000
"87b095d3","CHN_XJ","Xinjiang",2,"Xinjiang",,"CHN.28_1","CN.XJ","CNXJ",,41.75690651,87.1302943668535,24870000
"8f5b7608","CHN_YN","Yunnan",2,"Yunnan",,"CHN.30_1","CN.YN","CNYN",,25.19447708,101.268388474302,4830000
"092569d9","CHN_ZJ","Zhejiang",2,"Zhejiang",,"CHN.31_1","CN.ZJ","CNZJ",,29.17305565,119.759937087533,57370000
