"id","id_gov.co","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,,"-",,,,,
"f6668f0e","amazonas",2,"Amazonas",,"COL.1_1","ChIJuR67ovBG5JERmc75jvwzR3U","CO.AM","COAMA","91",-2.033429985,-71.3146988694565,76589,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"7d68ecf4","antioquia",2,"Antioquia",,"COL.2_1","ChIJg6eo2bIpRI4RmpWBdco2ClQ","CO.AN","COANT","05",7.158850435,-75.4680032280505,6407102,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"2980690c","arauca",2,"Arauca",,"COL.3_1","ChIJkRzPv_RFbo4Rpil-EU7aG-w","CO.AR","COARA","81",6.540519955,-70.9515988746077,262174,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"00cd1936","san_andres",2,"Archipiélago de San Andrés Providencia y Santa Catalina",,"COL.26_1","ChIJ4fBdUFXSBI8RKYUk0Gcbqkg","CO.SA","COSAP","88",13.353055955,-81.375278475,61280,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"350675b6","atlantico",2,"Atlántico",,"COL.4_1","ChIJ89ro1UIt9I4RfwE4srgW80c","CO.AT","COATL","08",10.6761508,-75.0038375793746,2535517,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"475b73d2","bogota",2,"Bogotá",,"COL.14.79_1","ChIJZ0-SYJsAP44RBHEcWTjKX1U","CO.DC","CODC","11",4.28857902825446,-74.2144536759319,7412566,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"fe468e2d","bolivar",2,"Bolívar",,"COL.5_1","ChIJhWiv4EXQWI4RFZYP9gSTAaY","CO.BL","COBOL","13",8.887051105,-74.2509391423605,2070110,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"925ad31b","boyaca",2,"Boyacá",,"COL.6_1","ChIJg6KQ-HWkaY4R95-8ZFsl4f8","CO.BY","COBOY","15",5.83465004,-72.9199973697694,1217376,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"6d092705","caldas",2,"Caldas",,"COL.7_1","ChIJcd6LEpw9R44RjJ6clEdODWg","CO.CL","COCAL","17",5.282949925,-75.3063001763385,998255,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"718a569d","caqueta",2,"Caquetá",,"COL.8_1","ChIJ71Y71ZiLIY4RdwaRZv8sn2I","CO.CQ","COCAQ","18",1.10804945,-74.7758695891086,401489,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"0c16339f","casanare",2,"Casanare",,"COL.9_1","ChIJM364TjQMa44RAKlGyUkZ9Cg","CO.CS","COCAS","85",5.250549555,-71.702724752299,420504,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"018be2d6","cauca",2,"Cauca",,"COL.10_1","ChIJ7bbI7I7IL44Rf_y3Js5Ch2I","CO.CA","COCAU","19",2.135249495,-76.8687863936916,1464488,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"3cec2a6f","cesar",2,"Cesar",,"COL.11_1","ChIJgbkNEIiPXY4RUFQJbpp0Hog","CO.CE","COCES","20",9.26958561,-73.6385755194299,1200574,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"d0c8e5b2","choco",2,"Chocó",,"COL.12_1","ChIJxfeIZXCPSI4Rvl1GgkYTYKU","CO.CH","COCHO","27",6.325695995,-77.0912289478864,534826,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"cb099399","cordoba",2,"Córdoba",,"COL.13_1","ChIJ80WQ6Jq6WY4RIn6pt7InGok","CO.CO","COCOR","23",8.3992486,-75.7076004033231,1784783,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"580019e5","cundinamarca",2,"Cundinamarca",,"COL.14_1","ChIJK68WFusoP44R7QjR-rW8PJM","CO.CU","COCUN","25",4.739000555,-74.0784205110632,2919060,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"432g43f8","guainia",2,"Guainía",,"COL.15_1",,"CO.GN","COGUA","94",2.586725475,-69.1050572109471,48114,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"c867aC9c","guaviare",2,"Guaviare",,"COL.16_1","ChIJ10lZEGXbEI4Rx1SITSuSNWQ","CO.GV","COGUV","95",1.75145,-72.368164766547,82767,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"3b8455d4","huila",2,"Huila",,"COL.17_1","ChIJCzCnagAjO44Rvf5euiPn0bo","CO.HU","COHUI","41",2.65600002,-75.4796760522268,1100386,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"0469cd13","guajira",2,"La Guajira",,"COL.18_1","ChIJ_zhyYhSJi44RFpd9GoPY5iI","CO.LG","COLAG","44",11.41972208,-72.5883860138631,880560,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"e6f09c55","magdalena",2,"Magdalena",,"COL.19_1","ChIJ83MHO58wX44RGxlZqXQjgSk","CO.MA","COMAG","47",10.148001195,-74.5178935846863,1341746,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"725a0634","meta",2,"Meta",,"COL.20_1","ChIJb0oPImFBFo4RxjdvCI8cRdY","CO.ME","COMET","50",3.209100485,-72.8926010962003,1039722,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"65396842","narino",2,"Nariño",,"COL.21_1","ChIJjQ6m6H4gLI4R6uZgqP61Nns","CO.NA","CONAR","52",1.516111015,-77.8477589248216,1630592,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"b5bc1dbe","norte_de_santander",2,"Norte de Santander",,"COL.22_1","ChIJe7AZn3ZFZo4RnvxECXA4KSY","CO.NS","CONSA","54",8.071700095,-72.8830649269604,1491689,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"f442234b","putumayo",2,"Putumayo",,"COL.23_1","ChIJ4dNiCRwQJ44RphIOU5DEezg","CO.PU","COPUT","86",0.42315006,-75.6418407015748,348182,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"ca1ff43c","quindio",2,"Quindio",,"COL.24_1","ChIJX4ofDKJUOI4R44PjiT5XqwU","CO.QD","COQUI","63",4.42279935,-75.734894484235,539904,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"a524c5a4","risaralda",2,"Risaralda",,"COL.25_1","ChIJIa1iMeKAOI4RsIIuwg6R6io","CO.RI","CORIS","66",5.06900096,-76.1063041202479,943401,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"d83d7857","santander",2,"Santander",,"COL.27_1","ChIJm4wE_VJ4Qo4RJeD6ou1GDvc","CO.ST","COSAN","68",6.91385031,-73.2866928456115,2184837,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
