"id","id_mzcr.cz","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
,,,,,,,,,"-",,,,,,
"674bb426","CZ031",2,"Jihočeský",,"South Bohemia Region","CZE.1_1","ChIJZ2aXTChNc0cRQKgUZg-vAAE","CZ.CK","CZ031","CZ031",49.07897377,14.5981501396401,642133,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"6a56b4ec","CZ064",2,"Jihomoravský",,"Moravian-Silesian Region","CZE.2_1","ChIJ20M_Z4beE0cR8KgUZg-vAAE","CZ.BK","CZ064","CZ064",49.127857205,16.7263536027426,1187667,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"280a22e1","CZ041",2,"Karlovarský",,"Karlovy Vary Region","CZE.3_1","ChIJzfOKMreRoEcRYKgUZg-vAAE","CZ.KK","CZ041","CZ041",50.17484474,12.8139416791239,294896,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"a818421a","CZ052",2,"Královéhradecký",,"Hradec Králové Region","CZE.5_1","ChIJMfr5cQ2GDkcRkKgUZg-vAAE","CZ.HK","CZ052","CZ052",50.412960055,15.6831980692591,551021,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"311113a0","CZ051",2,"Liberecký",,"Liberec Region","CZE.6_1","ChIJw21vd603CUcRgKgUZg-vAAE","CZ.LK","CZ051","CZ051",50.75294113,14.983202807787,442356,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"f3b85d7b","CZ080",2,"Moravskoslezský",,"South Moravian Region","CZE.7_1","ChIJjQugXLi_EkcRwKgUZg-vAAE","CZ.VK","CZ080","CZ080",49.864343645,17.8919684672901,1203299,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"03277122","CZ071",2,"Olomoucký",,"Olomouc Region","CZE.8_1","ChIJSSEHIaM6EkcR0KgUZg-vAAE","CZ.OK","CZ071","CZ071",49.871944425,16.9589242741895,632492,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"df1f728c","CZ053",2,"Pardubický",,"Pardubice Region","CZE.9_1","ChIJaUFizQjADUcRoKgUZg-vAAE","CZ.EK","CZ053","CZ053",49.894067765,16.1285589757184,520316,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"fe42e59c","CZ032",2,"Plzeňský",,"Plzeň Region","CZE.10_1","ChIJaWXbs0u_CkcRUKgUZg-vAAE","CZ.PK","CZ032","CZ032",49.521614075,13.2130974784509,584672,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"227ae632","CZ010",2,"Praha",,"Prague","CZE.11_1","ChIJi3lwCZyTC0cRIKgUZg-vAAE","CZ.PM","CZ010","CZ010",50.056287765,14.4573207649924,1169106,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"0957b5f1","CZ020",2,"Středočeský",,"Central Bohemian Region","CZE.12_1","ChIJo_KPDpyTC0cRMKgUZg-vAAE","CZ.SK","CZ020","CZ020",50.0600605,13.851392638713,1369332,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"b103735b","CZ042",2,"Ústecký",,"Ústí nad Labem Region","CZE.13_1","ChIJyauIT6CJCUcRcKgUZg-vAAE","CZ.UK","CZ042","CZ042",50.563856125,13.8131370503766,820789,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"f432214f","CZ063",2,"Vysočina",,"Vysočina Region","CZE.4_1","ChIJVf0Z3PAQDUcRsKgUZg-vAAE","CZ.JK","CZ063","CZ063",49.401540755,15.6465717326677,509274,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"9a2e2098","CZ072",2,"Zlínský",,"Zlín Region","CZE.14_1","ChIJLWCw1F9xE0cR4KgUZg-vAAE","CZ.ZK","CZ072","CZ072",49.212442395,17.6547912699679,582921,"Czech Statistical Office (2018)","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018"
"9bb5afb2","CZ0311",3,"Jihočeský","Ceské Budejovice",,"CZE.1.1_1","ChIJhQbcWsZOc0cR0KkUZg-vAAM","CZ.CK.CB","CZ0311","CZ031",48.9689445495606,14.4580834454054,186462,"Statoids (2011)","http://www.statoids.com/ycz.html"
"02bcfe08","CZ0312",3,"Jihočeský","Ceský Krumlov",,"CZE.1.2_1","ChIJvXlhAb5nc0cR4KkUZg-vAAM","CZ.CK.CK","CZ0312","CZ031",48.7632083892823,14.2575649404526,60516,"Statoids (2011)","http://www.statoids.com/ycz.html"
"75bbce9e","CZ0313",3,"Jihočeský","Jindrichuv Hradec",,"CZE.1.3_1","ChIJy_gHa9jUDEcR8KkUZg-vAAM","CZ.CK.JH","CZ0313","CZ031",49.0238895416261,15.0996754186563,90604,"Statoids (2011)","http://www.statoids.com/ycz.html"
"ebdf5b3d","CZ0314",3,"Jihočeský","Písek",,"CZE.1.4_1","ChIJjX9IeTNbC0cRAKoUZg-vAAM","CZ.CK.PI","CZ0314","CZ031",49.3590278625489,14.2219564215676,69843,"Statoids (2011)","http://www.statoids.com/ycz.html"
"9cd86bab","CZ0315",3,"Jihočeský","Prachatice",,"CZE.1.5_1","ChIJ5wFm5r67dEcREKoUZg-vAAM","CZ.CK.PT","CZ0315","CZ031",48.9486618041992,13.9000351048211,50010,"Statoids (2011)","http://www.statoids.com/ycz.html"
"05d13a11","CZ0316",3,"Jihočeský","Strakonice",,"CZE.1.6_1","ChIJue3T90NIC0cRIKoUZg-vAAM","CZ.CK.ST","CZ0316","CZ031",49.3009910583496,13.8700719096073,69786,"Statoids (2011)","http://www.statoids.com/ycz.html"
"72d60a87","CZ0317",3,"Jihočeský","Tábor",,"CZE.1.7_1","ChIJOdNJXBmYDEcR3RK7P48Z-eY","CZ.CK.TA","CZ0317","CZ031",49.3531036376954,14.6783524565502,101115,"Statoids (2011)","http://www.statoids.com/ycz.html"
"e009991c","CZ0641",3,"Jihomoravský","Blansko",,"CZE.2.1_1","ChIJO2hn4HGIEkcRcKwUZg-vAAM","CZ.BK.BK","CZ0641","CZ064",49.4491958618164,16.6059521144421,105708,"Statoids (2011)","http://www.statoids.com/ycz.html"
"90636d93","CZ0644",3,"Jihomoravský","Breclav",,"CZE.2.2_1","ChIJc7kNMlPSEkcRoKwUZg-vAAM","CZ.BK.BV","CZ0644","CZ064",48.8354282379151,16.7134215346819,112828,"Statoids (2011)","http://www.statoids.com/ycz.html"
"7900c8a6","CZ0642",3,"Jihomoravský","Brno-mesto",,"CZE.2.3_1","ChIJEVE_wDqUEkcRgKwUZg-vAAM","CZ.BK.BM","CZ0642","CZ064",49.1888103485108,16.5825370386533,385913,"Statoids (2011)","http://www.statoids.com/ycz.html"
