,id,id_gov_de,administrative_area_level,administrative_area_level_2,administrative_area_level_3,latitude_x,longitude_x,population,key_numeric,latitude_y,longitude_y
0,27ab265e,9,2,Bayern,,,,,9,48.7904,11.4979
1,c77ecf40,3,2,Niedersachsen,,,,,3,52.6367,9.8451
2,2e1d6a75,5,2,Nordrhein-Westfalen,,,,,5,51.4332,7.6616
3,50ac16c8,8,2,Baden-Württemberg,,,,,8,48.6616,9.3501
4,b079ffd6,2,2,Hamburg,,,,,2,53.5511,9.9937
5,b7143bcf,6,2,Hessen,,,,,6,50.6521,9.1624
6,c0130b59,7,2,Rheinland-Pfalz,,,,,7,50.1183,7.3090
7,2970ae6c,1,2,Schleswig-Holstein,,,,,1,54.2194,9.6961
8,5cbe5d89,12,2,Brandenburg,,,,,12,52.4125,12.5316
9,591a5ae3,4,2,Bremen,,,,,4,53.0793,8.8017
10,b5ddf8bc,14,2,Sachsen,,,,,14,51.1045,.2017
11,c5b70c33,11,2,Berlin,,,,,11,52.5200,13.4050
12,2bb96d1f,13,2,Mecklenburg-Vorpommern,,,,,13,53.6127,12.4296
13,5bd39990,16,2,Thüringen,,,,,16,51.0110,10.8453
14,b2b03ca5,10,2,Saarland,,,,,10,49.3964,7.0230
15,c2dac82a,15,2,Sachsen-Anhalt,,,,,15,51.9503,11.6923
16,b0b19fdd,9181,3,Bayern,LK Landsberg a.Lech,,,,9181,48.0244353759,10.9487346774
17,c96d2779,9188,3,Bayern,LK Starnberg,,,,9188,48.0060469771,11.2817326717
18,39f20b20,9179,3,Bayern,LK Fürstenfeldbruck,,,,9179,48.1877932949,11.2010776242
19,b73be3e9,9162,3,Bayern,SK München,,,,9162,48.1532131611,11.5472441841
20,be6a17ef,9189,3,Bayern,LK Traunstein,,,,9189,47.8945427587,12.5795750694
21,c0db6b52,9184,3,Bayern,LK München,,,,9184,48.0744744023,11.6313680405
22,111e375a,3401,3,Niedersachsen,SK Delmenhorst,,,,3401,53.0494043992,8.64568293102
23,4ef53bb6,9178,3,Bayern,LK Freising,,,,9178,48.4473569802,11.7406716932
24,2f4c8b5b,5315,3,Nordrhein-Westfalen,SK Köln,,,,5315,50.9456668791,6.97321855167
25,7356763b,8436,3,Baden-Württemberg,LK Ravensburg,,,,8436,47.8250441153,9.77989455833
26,30ace6c4,8117,3,Baden-Württemberg,LK Göppingen,,,,8117,48.6631483606,9.71750497706
27,416014b9,8416,3,Baden-Württemberg,LK Tübingen,,,,8416,48.481737902,8.98763400076
28,dd265386,8315,3,Baden-Württemberg,LK Breisgau-Hochschwarzwald,,,,8315,47.9249093559,7.92494089685
29,f60b0045,8325,3,Baden-Württemberg,LK Rottweil,,,,8325,48.254220293,8.53235133177
