"id","id_isciii.es","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,,,"-",,,,,,
"65d624b3","AN",2,"Andalucía",,"Andalusia","ESP.1_1","ChIJRcWdz7HZEQ0RD_Pxd01lycE","ES.AN","ESAN","01","ES61",37.364515305,-4.54243389082257,8427405,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"71d778fc","AR",2,"Aragón",,"Aragon","ESP.2_1","ChIJ-W5lP-4UWQ0RWP14-ZVCICA","ES.AR","ESAR","02","ES24",41.38541603,-0.839715375341938,1320586,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"57e04631","CN",2,"Canarias",,"Canary Islands","ESP.14_1","ChIJY1N174aqQQwRwMhLvvNAAwE","ES.CN","ESCN","05","ES70",28.293611525,-16.621944425,2206901,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"5e560a1a","CB",2,"Cantabria",,"Cantabria","ESP.3_1","ChIJy78OCdsgSQ0R0MjJc4L1BAE","ES.CB","ESS","06","ES13",43.136398315,-4.2634701153849,581641,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"cee9178b","CM",2,"Castilla-La Mancha",,"Castile-La Mancha","ESP.4_1","ChIJK6f5rcBfZg0R0rZyF5O64Ts","ES.CM","ESCM","08","ES42",39.67591095,-3.2724759911364,2034877,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"b9ee271d","CL",2,"Castilla y León",,"Castile and Leon","ESP.5_1","ChIJ95OAA5CaNw0RpVYFgwZ7npY","ES.CL","ESCL","07","ES41",41.6606102,-4.07943516696784,2407733,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"aa82bf4b","CT",2,"Cataluña",,"Catalonia","ESP.6_1","ChIJ8_UwhdxbpBIRUMijIeD6AAE","ES.CT","ESCT","09","ES51",41.692222595,1.58426121434448,7566431,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"c0329fb9","CE",2,"Ceuta",,"Ceuta",,"ChIJN4t3-cajDA0RNeZ62srbpWo","ES.CE","ESCE","18","ES63",35.8894,-5.3213,84829,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
"29b682a1","MD",2,"Comunidad de Madrid",,"Community of Madrid","ESP.8_1","ChIJuTPgQHqBQQ0RgMhLvvNAAwE","ES.MD","ESM","13","ES30",40.52218628,-3.7688478017641,6641649,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering (2021)"
