"id","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"French Guiana","French Guiana",,3.9339,-53.1258,,,,,,,
"French Polynesia","French Polynesia",,-17.6797,149.4068,,,,,,,
"Guadeloupe","Guadeloupe",,16.25,-61.5833,,,,,,,
"Martinique","Martinique",,14.6415,-61.0242,,,,,,,
"Mayotte","Mayotte",,-12.8275,45.1662,,,,,,,
"New Caledonia","New Caledonia",,-20.9043,165.618,,,,,,,
"Reunion","Reunion",,-21.1351,55.2471,,,,,,,
"Saint Barthelemy","Saint Barthelemy",,17.9,-62.8333,,,,,,,
"Saint Pierre and Miquelon","Saint Pierre and Miquelon",,46.8852,-56.3159,,,,,,,
"St Martin","St Martin",,18.0708,-63.0501,,,,,,,
