"id","id_gov_uk","id_github.oxcgrt.covidpolicytracker","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
,,,,,,,,,,"-",,,,
"238di8a9","E92000001","UK_ENG",2,"England",,"GBR.1_1",,,"GBENG","E92000001",,52.87999916,-1.50569824727184,56286961
"c9813b4b","N92000002","UK_NIR",2,"Northern Ireland",,"GBR.2_1",,,"GBNIR","N92000002","UKN",54.637777325,-6.85139739956934,1882000
"e309aefb","S92000003","UK_SCO",2,"Scotland",,"GBR.3_1",,,"GBSCT","S92000003","UKM",56.652776715,-3.91249955,5454000
"20816a54","W92000004","UK_WAL",2,"Wales",,"GBR.4_1",,,"GBWLS","W92000004","UKL",52.36881828,-3.60871923316752,3136000
"40161760","E07000223",,3,"England","Adur","GBR.1.110.1_1",,"GB.WS.AD",,"E07000223","UKJ27",50.8436794281007,-0.288990208153931,64187
"33f83781","E07000026",,3,"England","Allerdale","GBR.1.22.1_1",,"GB.CU.AL",,"E07000026","UKD11",54.7472610473633,-3.17401059315178,97831
"2d8ec2d9","E07000032",,3,"England","Amber Valley","GBR.1.25.1_1",,"GB.DB.AV",,"E07000032","UKF13",53.0161685943604,-1.46325494256089,128829
"de7282c3","E07000224",,3,"England","Arun","GBR.1.110.2_1",,"GB.WS.AR",,"E07000224","UKJ27",50.8343887329102,-0.55682589608159,161123
"a62e0cc6","E07000170",,3,"England","Ashfield","GBR.1.67.1_1",,"GB.NT.AS",,"E07000170","UKF15",53.0861988067627,-1.27698536916046,128337
"99056e8e","E07000105",,3,"England","Ashford","GBR.1.44.1_1",,"GB.KE.AS",,"E07000105","UKJ45",51.1293678283692,0.79599806242663,131018
"efc0342f","E07000004",,3,"England","Aylesbury Vale","GBR.1.13.1_1",,"GB.BU.AV",,"E07000004","UKJ13",51.9002704620362,-0.879245550959402,206851
"eb292458","E07000200",,3,"England","Babergh","GBR.1.96.1_1",,"GB.SF.BA",,"E07000200","UKH14",52.0520439147949,0.907745598584996,92735
