"id","id_github.swsoyee.2019ncovjapan","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_hasc","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,"-",,,
"e31eeb0f",23,2,"Aichi",,"JPN.1_1","JP.AI","JP23","23",35.000278475,137.278300379274,7552873
"c7c3abfd",5,2,"Akita",,"JPN.2_1","JP.AK","JP05","05",39.68981743,140.439437637234,965968
"59a73e5e",2,2,"Aomori",,"JPN.3_1","JP.AO","JP02","02",40.88097191,140.491798707444,1246138
"bf34885a",12,2,"Chiba",,"JPN.4_1","JP.CH","JP12","12",35.499591825,140.229358238118,6279026
"6dd703c6",38,2,"Ehime",,"JPN.5_1","JP.EH","JP38","38",33.519443515,132.705321173782,1338811
"5fe16144",18,2,"Fukui",,"JPN.6_1","JP.FI","JP18","18",35.81755638,136.437323226408,767742
"2c4d1d33",40,2,"Fukuoka",,"JPN.7_1","JP.FO","JP40","40",33.48450661,130.498480733884,5110113
"29cdcad1",7,2,"Fukushima",,"JPN.8_1","JP.FS","JP07","07",37.38313484,140.135561452176,1847950
"0d108a23",21,2,"Gifu",,"JPN.9_1","JP.GF","JP21","21",35.803470615,137.065246660603,1988931
"513ae976",10,2,"Gunma",,"JPN.10_1","JP.GM","JP10","10",36.52054977,138.924644479484,1937626
"64614fed",34,2,"Hiroshima",,"JPN.11_1","JP.HS","JP34","34",34.58424759,132.773557852685,2807987
"c0ae6fe4",1,2,"Hokkaido",,"JPN.12_1","JP.HK","JP01","01",43.46040726,143.330213524397,5248552
"74cc3287",28,2,"Hyogo",,"JPN.13_1","JP.HG","JP28","28",35.15180397,134.85198658066,5463609
"b972d740",8,2,"Ibaraki",,"JPN.14_1","JP.IB","JP08","08",36.3306942,140.255551168271,2868041
"cf5e7cd5",17,2,"Ishikawa",,"JPN.15_1","JP.IS","JP17","17",37.129520415,136.984491254259,1137181
"2ea00ec8",3,2,"Iwate",,"JPN.16_1","JP.IW","JP03","03",39.59900856,141.365653426704,1226430
"fd681e57",37,2,"Kagawa",,"JPN.17_1","JP.KG","JP37","37",34.20519638,134.039645443292,956069
"c52eb806",46,2,"Kagoshima",,"JPN.18_1","JP.KS","JP46","46",31.589212415,130.994418392334,1599984
"56572d6f",14,2,"Kanagawa",,"JPN.19_1","JP.KN","JP14","14",35.40328598,139.283082664902,9200166
"1ad03350",39,2,"Kochi",,"JPN.20_1","JP.KC","JP39","39",33.300245285,133.058677474849,697674
"b5444c89",43,2,"Kumamoto",,"JPN.21_1","JP.KM","JP43","43",32.64179802,130.801664771727,1746740
"93741f80",26,2,"Kyoto",,"JPN.22_1","JP.KY","JP26","26",35.24059677,135.504161696436,2583140
"7d7a7eac",24,2,"Mie",,"JPN.23_1","JP.ME","JP24","24",34.48814392,136.522049915687,1779770
"b0c49b6b",4,2,"Miyagi",,"JPN.24_1","JP.MG","JP04","04",38.38571167,140.840976430638,2303160
"5c27e9bc",45,2,"Miyazaki",,"JPN.25_1","JP.MZ","JP45","45",32.097043995,131.192270210399,1072077
"7a17bab5",20,2,"Nagano",,"JPN.26_1","JP.NN","JP20","20",36.10910988,138.10275672514,2049023
"c2437c1f",42,2,"Nagasaki",,"JPN.27_1","JP.NS","JP42","42",32.685676575,128.756405099429,1325205
"03cb0211",29,2,"Nara",,"JPN.28_1","JP.NR","JP29","29",34.32450104,135.890421828874,1331330
"21501df9",15,2,"Niigata",,"JPN.29_1","JP.NI","JP15","15",37.640291215,139.159870968503,2222004
"2b20d92a",44,2,"Oita",,"JPN.30_1","JP.OT","JP44","44",33.21316719,131.354892822249,1134431
"fa05da4e",33,2,"Okayama",,"JPN.31_1","JP.OY","JP33","33",34.88969421,133.788733326487,1891346
"b2298890",47,2,"Okinawa",,"JPN.32_1","JP.ON","JP47","47",24.34694576,123.84749985,1454184
"e4732f16",27,2,"Osaka",,"JPN.33_1","JP.OS","JP27","27",34.657995225,135.552857644384,8823453
"5b4a2da5",41,2,"Saga",,"JPN.34_1","JP.SG","JP41","41",33.25400352,130.101564195003,814211
"263dd9e0",11,2,"Saitama",,"JPN.35_1","JP.ST","JP11","11",36.016235355,139.285683527219,7337330
"0a7d4e3a",25,2,"Shiga",,"JPN.36_1","JP.SH","JP25","25",35.24409294,136.113194096295,1413959
"8d02ead8",32,2,"Shimane",,"JPN.37_1","JP.SM","JP32","32",34.952388765,132.42654766457,673891
"9419db99",22,2,"Shizuoka",,"JPN.38_1","JP.SZ","JP22","22",35.118213655,138.224793994429,3639226
"ce75e7d6",9,2,"Tochigi",,"JPN.39_1","JP.TC","JP09","09",36.675819395,139.782945056607,1942312
"8a6f2ec1",36,2,"Tokushima",,"JPN.40_1","JP.TS","JP36","36",33.89257431,134.182386054198,728633
"c833b8cc",13,2,"Tokyo",,"JPN.41_1","JP.TK","JP13","13",35.697574615,139.460268634884,13942856
"140bbb62",31,2,"Tottori",,"JPN.42_1","JP.TT","JP31","31",35.334669115,134.261290197312,555663
"b8594c43",16,2,"Toyama",,"JPN.43_1","JP.TY","JP16","16",36.62667084,137.273273539004,1042998
"630c8bf4",30,2,"Wakayama",,"JPN.44_1","JP.WK","JP30","30",33.908094405,135.345996453187,923721
"5ecafa47",6,2,"Yamagata",,"JPN.45_1","JP.YT","JP06","06",38.431707385,140.153883186589,1077057
"13667f7b",35,2,"Yamaguchi",,"JPN.46_1","JP.YC","JP35","35",34.25429916,131.522771864005,1355495
"28e651d2",19,2,"Yamanashi",,"JPN.47_1","JP.YN","JP19","19",35.570386885,138.689181653329,812056
