"id","id_github.cssegisanddata.covid19unified","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_hasc","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,"-",,,
"ba3b7ceb","MXAGU",2,"Aguascalientes",,"MEX.1_1","MX.AG","MXAGU",,22.02451515,-102.352498704299,1184996
"8793d473","MXBCN",2,"Baja California",,"MEX.3_1","MX.BN","MXBCN",,30.29873848,-115.231039828398,3155070
"ea85b662","MXBCS",2,"Baja California Sur",,"MEX.2_1","MX.BS","MXBCS",,25.41166687,-111.54264069,637026
"ee432a59","MXCAM",2,"Campeche",,"MEX.4_1","MX.CM","MXCAM",,19.31277752,-89.9061079819996,822441
"03951aea","MXCHP",2,"Chiapas",,"MEX.5_1","MX.CP","MXCHP",,16.253345485,-92.2853122840702,4796580
"91828d91","MXCHH",2,"Chihuahua",,"MEX.6_1","MX.CH","MXCHH",,28.68692112,-106.104726913856,3406465
"3aea930e","MXCMX",2,"Ciudad de Mexico",,"MEX.9_1","MX.DF","MXCMX",,19.2837801,-99.1103533854938,8851080
"a7a19e68","MXCOA",2,"Coahuila",,"MEX.7_1","MX.CA","MXCOA",,27.202111245,-102.406088705927,2748391
"fe648ce5","MXCOL",2,"Colima",,"MEX.8_1","MX.CL","MXCOL",,19.13000107,-104.006671853096,650555
"3aa9e601","MXDUR",2,"Durango",,"MEX.10_1","MX.DU","MXDUR",,24.569360735,-104.677776285558,1632934
"945becaf","MXGUA",2,"Guanajuato",,"MEX.11_1","MX.GJ","MXGUA",,20.88313484,-101.291427291999,5486372
"f6b04d22","MXGRO",2,"Guerrero",,"MEX.12_1","MX.GR","MXGRO",,17.68819332,-99.9849855144817,3388768
"6539f8d9","MXHID",2,"Hidalgo",,"MEX.13_1","MX.HI","MXHID",,20.482379915,-99.1729290137591,2665018
"982729fa","MXJAL",2,"Jalisco",,"MEX.14_1","MX.JA","MXJAL",,20.812438965,-103.198272654935,7350682
"289e3575","MXMEX",2,"Mexico",,"MEX.15_1","MX.MX","MXMEX",,19.324000355,-99.7783316359216,15175862
"a98ea3d5","MXMIC",2,"Michoacan",,"MEX.16_1","MX.MC","MXMIC",,19.14700699,-101.66535595725,4351037
"5d421751","MXMOR",2,"Morelos",,"MEX.17_1","MX.MR","MXMOR",,18.71176529,-99.0508460164843,1777227
"709476a5","MXNAY",2,"Nayarit",,"MEX.18_1","MX.NA","MXNAY",,21.81222248,-104.837829873072,1084979
"c467de55","MXNLE",2,"Nuevo Leon",,"MEX.19_1","MX.NL","MXNLE",,25.474061015,-99.4862481351824,4653458
"797d4e01","MXOAX",2,"Oaxaca",,"MEX.20_1","MX.OA","MXOAX",,17.145264625,-96.0089496917339,3801962
"3930e2d9","MXPUE",2,"Puebla",,"MEX.21_1","MX.PU","MXPUE",,19.38235569,-97.3618220118968,5779829
"31e83875","MXQUE",2,"Queretaro",,"MEX.22_1","MX.QE","MXQUE",,20.80926514,-100.04105926111,1827937
"9914239e","MXROO",2,"Quintana Roo",,"MEX.23_1","MX.QR","MXROO",,19.728333475,-88.4958613137262,1325578
"a9fae5da","MXSLP",2,"San Luis Potosi",,"MEX.24_1","MX.SL","MXSLP",,22.86902523,-101.155966019981,2585518
"65318f43","MXSIN",2,"Sinaloa",,"MEX.25_1","MX.SI","MXSIN",,24.756388665,-107.470518398699,2767761
"9e6c34d9","MXSON",2,"Sonora",,"MEX.26_1","MX.SO","MXSON",,29.39833355,-110.456739996987,2662480
"d54258e7","MXTAB",2,"Tabasco",,"MEX.27_1","MX.TB","MXTAB",,17.952049255,-92.5649118997666,2238603
"3b918e89","MXTAM",2,"Tamaulipas",,"MEX.28_1","MX.TM","MXTAM",,24.93251419,-98.4060557031599,3268554
"fbb672be","MXTLA",2,"Tlaxcala",,"MEX.29_1","MX.TL","MXTLA",,19.450846675,-98.0546297672568,1169936
"cbbcc80b","MXVER",2,"Veracruz",,"MEX.30_1","MX.VE","MXVER",,19.80402756,-96.8405514016656,7643194
"51cc148b","MXYUC",2,"Yucatan",,"MEX.31_1","MX.YU","MXYUC",,20.63473892,-89.0366132001852,1955577
"6e919b0d","MXZAC",2,"Zacatecas",,"MEX.32_1","MX.ZA","MXZAC",,23.07436085,-103.178399184043,1490668
