"id","id_rivm.nl","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
,,,,,,,,"-",,,,
"11c6eae3","Drenthe",2,"Drenthe",,"NLD.1_1","ChIJJe9hK-IhyEcRMK4d-ISmq2o","NLDR","PV22","NL13",52.9082489,6.6932587113071,493682
"ec2469da","Flevoland",2,"Flevoland",,"NLD.2_1","ChIJ1xORtvImxkcR4SzuR8Lc-j8","NLFL","PV24","NL23",52.429815295,5.51705646067032,423021
"62e72a01","Fryslân",2,"Friesland",,"NLD.3_1","ChIJleoU4ozkyEcRQFwejVreAAM","NLFR","PV21","NL12",53.107917785,5.83760751835777,649957
"b6280528","Gelderland",2,"Gelderland",,"NLD.4_1","ChIJB-9Q0R-6x0cRcFwejVreAAM","NLGE","PV25","NL22",52.127614975,6.09412654080148,2085952
"fb7ef034","Groningen",2,"Groningen",,"NLD.5_1","ChIJqwJiN3vCyUcRUaoxQRV3RfI","NLGR","PV20","NL11",53.15242958,6.89150029964011,585866
"6e7f5365","Limburg",2,"Limburg",,"NLD.7_1","ChIJkzteeLbpwEcRh3gtWm9Fi90","NLLI","PV31","NL42",51.25547409,5.86401002426647,1117201
"f965106f","Noord-Brabant",2,"Noord-Brabant",,"NLD.8_1","ChIJtanWwXa_xkcRwFwejVreAAM","NLNB","PV30","NL41",51.52538109,5.04215798110224,2562955
"e7a5fd82","Noord-Holland",2,"Noord-Holland",,"NLD.9_1","ChIJu-SH28MJxkcRJYI2wf63IME","NLNH","PV27","NL32",52.56430626,4.82309560544348,2879527
"f656f4a1","Overijssel",2,"Overijssel",,"NLD.10_1","ChIJMxy1uXMUuEcRn_OKFanz9VM","NLOV","PV23","NL21",52.485109325,6.38807337239518,1162406
"702ec710","Utrecht",2,"Utrecht",,"NLD.11_1","ChIJPzM8M01oxkcRsFwejVreAAM","NLUT","PV26","NL31",52.119041445,5.15729063851078,1354834
"a94d0153","Zeeland",2,"Zeeland",,"NLD.12_1","ChIJyfyksadZxEcRt6HidhtRRCo","NLZE","PV29","NL34",51.303087235,3.89230032526643,383488
"836fbee1","Zuid-Holland",2,"Zuid-Holland",,"NLD.14_1","ChIJ3xx5hqRHxEcRqpVxnOHVK_w","NLZH","PV28","NL33",52.01439857,4.47750516963172,3708696
"2814a7ab","Aa en Hunze",3,"Drenthe","Aa en Hunze","NLD.1.1_1","ChIJd8Zx3YDYt0cR9DTRc8Z6DIg",,"GM1680","NL131",52.981338379194,6.72910814449527,25445
"685dde11","Assen",3,"Drenthe","Assen","NLD.1.2_1","ChIJCwpzCOYkyEcRhchNa-yoCtc",,"GM0106","NL131",53.0004961131287,6.55053519017831,68599
"b25c6922","Borger-Odoorn",3,"Drenthe","Borger-Odoorn","NLD.1.3_1","ChIJFyFD7FDct0cRr4m08rJoVg0",,"GM1681","NL132",52.8916410404282,6.88034677257655,25559
"9d10f9e4","Coevorden",3,"Drenthe","Coevorden","NLD.1.4_1","ChIJ6R-DEBEfyEcR9hgRZY7IXmw",,"GM0109","NL132",52.7533629937075,6.72214450269246,35297
"02b42404","De Wolden",3,"Drenthe","De Wolden","NLD.1.5_1","ChIJL7eRUOEVyEcRW73fsvm5d84",,"GM1690","NL133",52.7058790342075,6.33897919802829,24330
"3ba3d607","Emmen",3,"Drenthe","Emmen","NLD.1.6_1","ChIJPeU4ejLvt0cRcatHdE_v2LI",,"GM0114","NL132",52.7548043823015,6.95247723492252,107048
"b7af0c88","Hoogeveen",3,"Drenthe","Hoogeveen","NLD.1.7_1","ChIJ42fZ4djZx0cRx3pMZyRdyic",,"GM0118","NL133",52.7269829804122,6.49317912843856,55699
"bef810a8","Meppel",3,"Drenthe","Meppel","NLD.1.8_1","ChIJfyOd8E1tyEcREh0JA3WSwJQ",,"GM0119","NL133",52.7208890261598,6.17852901925946,33920
"9a64e871","Midden-Drenthe",3,"Drenthe","Midden-Drenthe","NLD.1.9_1","ChIJsXZeIoEiyEcRVot-W33xfNc",,"GM1731","NL131",52.8712932105979,6.56639949525892,33185
"126b4c41","Noordenveld",3,"Drenthe","Noordenveld","NLD.1.10_1","ChIJtaDJ3AcxyEcRjTLaQiijF0s",,"GM1699","NL131",53.0954260915233,6.42083969775202,31253
"d83b113c","Tynaarlo",3,"Drenthe","Tynaarlo","NLD.1.11_1","ChIJC8w_nJcuyEcRqpdwm3gbXFc",,"GM1730","NL131",53.1122450661047,6.56030724493238,33887
"5958462c","Westerveld",3,"Drenthe","Westerveld","NLD.1.12_1","ChIJb6KUb28WyEcRgU_w4c57SgQ",,"GM1701","NL133",52.8282943276269,6.31131086800632,19460
"00eb6049","Almere",3,"Flevoland","Almere","NLD.2.1_1","ChIJ7agGnU4WxkcRbuvicMC8BPQ",,"GM0034","NL230",52.3703786917065,5.2207976439463,211893
"790a5587","Dronten",3,"Flevoland","Dronten","NLD.2.2_1","ChIJK4kXjSIrxkcRJyk4nRIe8iI",,"GM0303","NL230",52.4898581389836,5.7226614940511,41555
"16a2f433","Lelystad",3,"Flevoland","Lelystad","NLD.2.3_1","ChIJueLr9pApxkcRRJccYwwbUi8",,"GM0995","NL230",52.4905262721134,5.49548502732784,78598
"c8965193","Noordoostpolder",3,"Flevoland","Noordoostpolder","NLD.2.4_1","ChIJ37iNY1Z9yEcRL0CqruOrpk4",,"GM0171","NL230",52.7280354341539,5.76523818990267,47291
