"id","id_jhucsse_git","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_local","latitude","longitude","population"
,,,,,,"-",,,
"abed1d9f",72001,2,"Adjuntas",,"PRI.1_1","001",18.1814441680909,-66.7536256778763,19483
"45e37cb3",72003,2,"Aguada",,"PRI.2_1","003",18.3676462173462,-67.1803383561504,41959
"ac80d986",72005,2,"Aguadilla",,"PRI.3_1","005",18.4497222900391,-67.1181003734212,60949
"428eb8aa",72007,2,"Aguas Buenas",,"PRI.4_1","007",18.2526454925537,-66.1312482728425,28659
"a53695ad",72009,2,"Aibonito",,"PRI.5_1","009",18.1273965835572,-66.2701791117065,25900
"b2f62cde",72011,2,"Anasco",,"PRI.6_1","011",18.2826328277587,-67.1157951354981,29261
"5cf84df2",72013,2,"Arecibo",,"PRI.7_1","013",18.4019985198976,-66.6804792895028,96440
"b59be8c7",72015,2,"Arroyo",,"PRI.8_1","015",17.9963359832764,-66.0525993840144,19575
"5b9589eb",72017,2,"Barceloneta",,"PRI.9_1","017",18.4405889511109,-66.5609546099885,24816
"bc2da4ec",72019,2,"Barranquitas",,"PRI.10_1","019",18.2000713348389,-66.3076239293037,30318
"99db7f1d",72021,2,"Bayamon",,"PRI.11_1","021",18.344358444214,-66.1678138346246,208116
"77d51e31",72023,2,"Cabo Rojo",,"PRI.12_1","023",18.0493059158325,-67.1558276079912,50917
"9eb6bb04",72025,2,"Caguas",,"PRI.13_1","025",18.2121591567994,-66.0558621112357,142893
"70b8da28",72027,2,"Camuy",,"PRI.14_1","027",18.4263601303101,-66.8630544151886,35159
"9700f72f",72029,2,"Canovanas",,"PRI.15_1","029",18.3339414596558,-65.8884185287964,47648
"80c04e5c",72031,2,"Carolina",,"PRI.16_1","031",18.3642740249634,-65.9531736861531,176762
"6ece2f70",72033,2,"Catano",,"PRI.17_1","033",18.4404525756837,-66.1394197387695,28140
"87ad8a45",72035,2,"Cayey",,"PRI.18_1","035",18.1029691696167,-66.1653082419429,48119
"69a3eb69",72037,2,"Ceiba",,"PRI.19_1","037",18.2474994659424,-65.6448224507846,13631
"8e1bc66e",72039,2,"Ciales",,"PRI.20_1","039",18.2651796340942,-66.5071539235548,18782
"cf81d89b",72041,2,"Cidra",,"PRI.21_1","041",18.1819934844971,-66.1575759649227,43480
"218fb9b7",72043,2,"Coamo",,"PRI.22_1","043",18.0965824127198,-66.350713184891,40512
"c8ec1c82",72045,2,"Comerio",,"PRI.23_1","045",18.2268486022949,-66.2201632365924,20778
"26e27dae",72047,2,"Corozal",,"PRI.24_1","047",18.303168296814,-66.3290571347045,37142
"c15a50a9",72049,2,"Culebra",,"PRI.25_1","049",18.3138885498047,-65.2827758789062,1818
"d69ae9da",72051,2,"Dorado",,"PRI.26_1","051",18.432228088379,-66.2798813037132,38165
"389488f6",72053,2,"Fajardo",,"PRI.27_1","053",18.3276395797731,-65.6563153850131,36993
"a6f01d55",72054,2,"Florida",,"PRI.28_1","054",18.3771314620973,-66.5605356061328,12680
"d1f72dc3",72055,2,"Guanica",,"PRI.29_1","055",17.9799308776855,-66.9156560576825,19427
"3ff94cef",72057,2,"Guayama",,"PRI.30_1","057",18.0155353546143,-66.146457560572,45362
"d84161e8",72059,2,"Guayanilla",,"PRI.31_1","059",18.0430240631104,-66.7954663196415,21581
"fdb7ba19",72061,2,"Guaynabo",,"PRI.32_1","061",18.359658241272,-66.1154400099003,97924
"13b9db35",72063,2,"Gurabo",,"PRI.33_1","063",18.2601366043092,-65.9745786291729,45369
"fada7e00",72065,2,"Hatillo",,"PRI.34_1","065",18.4068412780762,-66.7957676210068,41953
"14d41f2c",72067,2,"Hormigueros",,"PRI.35_1","067",18.1305494308472,-67.1155539765691,17250
"f36c322b",72069,2,"Humacao",,"PRI.36_1","069",18.1383333206177,-65.8194462343392,58466
"e4ac8b58",72071,2,"Isabela",,"PRI.37_1","071",18.4457330703735,-67.0072691185099,45631
"0aa2ea74",72073,2,"Jayuya",,"PRI.38_1","073",18.223448753357,-66.5896634983927,16642
"e3c14f41",72075,2,"Juana Diaz",,"PRI.39_1","075",18.0581035614014,-66.4850508791056,79897
