"id","id_github.cssegisanddata.covid19unified","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,,"-",,,,,
"31f4d6ce","RUAD",2,"Adygea Republic",,,"RUS.1_1",,"RUAD",,44.483425145,40.154208320965,439996,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"38a799b0","RUALT",2,"Altai Krai",,,"RUS.2_1",,"RUALT",,52.52986717,82.6433754262347,2419755,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"91bd2b17","RUAL",2,"Altai Republic",,,"RUS.16_1",,"RUAL",,50.862840655,86.9254255905699,206168,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"3b105140","RUAMU",2,"Amur Oblast",,,"RUS.3_1",,"RUAMU",,52.94975662,130.184923133881,830103,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"186e0985","RUARK",2,"Arkhangelsk Oblast",,,"RUS.4_1",,"RUARK",,63.5895195,41.5250685427319,1227626,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"0d1254dd","RUAST",2,"Astrakhan Oblast",,,"RUS.5_1",,"RUAST",,47.14501953,47.7110906173114,1010073,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"b64d35d9","RUBA",2,"Bashkortostan Republic",,,"RUS.6_1","ChIJEVOnLr032UMRLQdYy8e0LxY","RUBA",,54.071199415,56.3135484821213,4072292,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"92378303","RUBEL",2,"Belgorod Oblast",,,"RUS.7_1",,"RUBEL",,50.614385605,37.2844784219024,1532526,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"e435b49c","RUBRY",2,"Bryansk Oblast",,,"RUS.8_1",,"RUBRY",,52.93751144,33.125546962877,1278217,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"89eafcf7","RUBU",2,"Buryatia Republic",,,"RUS.9_1",,"RUBU",,53.593627925,111.05419795255,972021,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"b164e5a4","RUCE",2,"Chechen Republic",,,"RUS.10_1",,"RUCE",,43.223178865,45.8878520126373,13940000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"76ee756f","RUCHE",2,"Chelyabinsk Oblast",,,"RUS.11_1","ChIJe1NZqKySxUMR9xlJLa5yWvk","RUCHE",,54.202983855,61.4710671606755,3476217,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"6a446445","RUCHU",2,"Chukotka Autonomous Okrug",,,"RUS.12_1",,"RUCHU",,65.93019104,169.484317435169,50526,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"12532122","RUCU",2,"Chuvashia Republic",,,"RUS.13_1",,"RUCU",,55.49415779,47.1709413158218,1251619,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"b8f91c3a","RUDA",2,"Dagestan Republic",,,"RUS.15_1",,"RUDA",,43.093149185,46.9570837791328,2910000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"0e634190","RUKR",2,"Ingushetia Republic",,,"RUS.17_1",,"RUKR",,43.09539604,45.0322747162135,488043,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"658d5a7a","RUIRK",2,"Irkutsk Oblast",,,"RUS.18_1",,"RUIRK",,57.70221138,108.930406309966,2428750,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"d347aaa8","RUIVA",2,"Ivanovo Oblast",,,"RUS.19_1",,"RUIVA",,57.02930069,41.6571838213157,1014646,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"115a4ce3","RUYEV",2,"Jewish Autonomous Okrug",,,"RUS.82_1",,"RUYEV",,48.57537651,132.752633073236,176558,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"ba5fe7e2","RUKB",2,"Kabardino-Balkarian Republic",,,"RUS.20_1",,"RUKB",,43.416284565,43.5450103906724,859939,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"8671d590","RUKGD",2,"Kaliningrad Oblast",,,"RUS.21_1",,"RUKGD",,54.80337334,21.4226658706019,941873,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"9ccd3944","RUKL",2,"Kalmykia Republic",,,"RUS.22_1",,"RUKL",,46.50588608,45.4616951573855,289481,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"5fd2485e","RUKLU",2,"Kaluga Oblast",,,"RUS.23_1",,"RUKLU",,54.303014755,35.3489293153891,1012156,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"5f810ff5","RUKAM",2,"Kamchatka Krai",,,"RUS.24_1",,"RUKAM",,57.88798904,159.828077611052,322079,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"590e1a02","RUKC",2,"Karachay-Cherkess Republic",,,"RUS.25_1",,"RUKC",,43.836811065,41.7892453047456,477859,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"ef88d6c0","RUIN",2,"Karelia Republic",,,"RUS.26_1",,"RUIN",,63.650735855,33.3217752964946,643548,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"3fd3b89e","RUKEM",2,"Kemerovo Oblast",,,"RUS.27_1",,"RUKEM",,54.51132202,86.7847283587049,2763135,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"749cc78e","RUKHA",2,"Khabarovsk Krai",,,"RUS.28_1",,"RUKHA",,54.57845497,133.469209059678,1343869,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"f2f25986","RUKK",2,"Khakassia Republic",,,"RUS.29_1",,"RUKK",,53.35863304,90.3610089463689,532403,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"64dc4a15","RUKHM",2,"Khanty-Mansi Autonomous Okrug",,,"RUS.30_1",,"RUKHM",,62.13010216,71.977494634807,1532243,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"237f7f4d","RUKIR",2,"Kirov Oblast",,,"RUS.31_1",,"RUKIR",,58.587917325,50.1991870747727,1341312,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"116820fe","RUKO",2,"Komi Republic",,,"RUS.32_1",,"RUKO",,63.81896019,53.1065286331334,901189,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"0fa7a762","RUKOS",2,"Kostroma Oblast",,,"RUS.33_1",,"RUKOS",,58.445831295,43.8615148260447,667562,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"65e5f92e","RUKYA",2,"Krasnodar Krai",,,"RUS.34_1","ChIJe7gBwLhP8EAR3PUbg41Pw50","RUKYA",,45.13222313,38.1021370811966,5226647,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"caacb55b","RUKDA",2,"Krasnoyarsk Krai",,,"RUS.35_1","ChIJSUchYF2u11wRe-E9fD9Clfk","RUKDA",,64.721218105,95.87237527944,2828187,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"252d4be3","RUKGN",2,"Kurgan Oblast",,,"RUS.36_1",,"RUKGN",,55.54273605,65.4562705486466,910807,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"2ad9bcde","RUKRS",2,"Kursk Oblast",,,"RUS.37_1",,"RUKRS",,51.71459007,36.4715209330364,1127081,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
