"id","id_cdc.gov","id_covidtracking.com","id_github.cssegisanddata.covid19","id_github.nytimes.covid19data","id_github.oxcgrt.covidpolicytracker","id_healthdata.gov","id_ourworldindata.org","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,,,,,,,,"-",,,
"50a7f84e","AL","AL",,1,"US_AL","AL","Alabama",2,"Alabama",,"Alabama","USA.1_1","ChIJdf5LHzR_hogR6czIUzU0VV4","US01","01",32.615686415,-86.7325950053083,4903185
"cec36ded","AK","AK",,2,"US_AK","AK","Alaska",2,"Alaska",,"Alaska","USA.2_1","ChIJG8CuwJzfAFQRNduKqSde27w","US02","02",63.04973984,-152.036095522913,731545
"696a2a68","AS","AS",,60,"US_AS","AS","American Samoa",2,"American Samoa",,"American Samoa","ASM",,"US60","60",-14.301737785,-170.751183201739,55641
"a4734d1f","AZ","AZ",,4,"US_AZ","AZ","Arizona",2,"Arizona",,"Arizona","USA.3_1","ChIJaxhMy-sIK4cRcc3Bf7EnOUI","US04","04",34.163978575,-111.671984684379,7278717
"aaa8c52d","AR","AR",,5,"US_AR","AR","Arkansas",2,"Arkansas",,"Arkansas","USA.4_1","ChIJYSc_dD-e0ocR0NLf_z5pBaQ","US05","05",34.75175476,-92.4967442260693,3017804
"1c20e671","CA","CA",,6,"US_CA","CA","California",2,"California",,"California","USA.5_1","ChIJPV4oX_65j4ARVW8IJ6IJUYs","US06","06",37.270418165,-119.989637716364,39512223
"fb98cb76","CO","CO",,8,"US_CO","CO","Colorado",2,"Colorado",,"Colorado","USA.6_1","ChIJt1YYm3QUQIcR_6eQSTGDVMc","US08","08",38.98493004,-105.55003907873,5758736
"71fd029a","CT","CT",,9,"US_CT","CT","Connecticut",2,"Connecticut",,"Connecticut","USA.7_1","ChIJpVER8hFT5okR5XBhBVttmq4","US09","09",41.51819611,-72.8054444615535,3565287
"540cb4af","DE","DE",,10,"US_DE","DE","Delaware",2,"Delaware",,"Delaware","USA.8_1","ChIJO9YMTXYFx4kReOgEjBItHZQ","US10","10",39.136318205,-75.5776711885548,973764
"bd6f119a","DC","DC",,11,"US_DC","DC","District of Columbia",2,"District of Columbia",,"Washington DC","USA.9_1","ChIJW-T2Wt7Gt4kRmKFUAsCO4tY","US11","11",38.90190506,-76.9998438545198,705749
"1fe66e89","FL","FL",,12,"US_FL","FL","Florida",2,"Florida",,"Florida","USA.10_1","ChIJvypWkWV2wYgR0E7HW9MTLvc","US12","12",28.059181215,-81.6840370324094,21477737
"784c2375","GA","GA",,13,"US_GA","GA","Georgia",2,"Georgia",,"Georgia","USA.11_1","ChIJV4FfHcU28YgR5xBP7BC8hGY","US13","13",32.68049049,-83.2523996122632,10617423
"6296f708","GU","GU",,66,"US_GU","GU","Guam",2,"Guam",,"Guam","GUM",,"US66","66",13.450396535,144.757865016605,164229
"f10fb788","HI","HI",,15,"US_HI","HI","Hawaii",2,"Hawaii",,"Hawaii","USA.12_1","ChIJBeB5Twbb_3sRKIbMdNKCd0s","US15","15",19.588890075,-155.448616025,1415872
"96a5fa74","ID","ID",,16,"US_ID","ID","Idaho",2,"Idaho",,"Idaho","USA.13_1","ChIJ6Znkhaj_WFMRWIf3FQUwa9A","US16","16",45.4961853,-115.46368883575,1787065
"987e7246","IL","IL",,17,"US_IL","IL","Illinois",2,"Illinois",,"Illinois","USA.14_1","ChIJGSZubzgtC4gRVlkRZFCCFX8","US17","17",39.739204405,-89.4504423308279,12671821
"7670136a","IN","IN",,18,"US_IN","IN","Indiana",2,"Indiana",,"Indiana","USA.15_1","ChIJHRv42bxQa4gRcuwyy84vEH4","US18","18",39.7871151,-86.1730849724349,6732219
"e6cf0efb","IA","IA",,19,"US_IA","IA","Iowa",2,"Iowa",,"Iowa","USA.16_1","ChIJGWD48W9e7ocR2VnHV0pj78Y","US19","19",41.938634875,-93.1507584216114,3155070
"27401d31","KS","KS",,20,"US_KS","KS","Kansas",2,"Kansas",,"Kansas","USA.17_1","ChIJawF8cXEXo4cRXwk-S6m0wmg","US20","20",38.54479599,-98.3284664145695,2913314
