"id","id_github.dsfsi.covid19za","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,"-",,,,,
"4a1c930e","EC",2,"Eastern Cape",,"Eastern Cape","ZAF.1_1","ChIJu5znKjRWYh4RkqxyqdKUajo","EC",-32.10953522,26.5903024281711,6996976,"https://www.wikipedia.org","Wikipedia (2018)"
"7c86d0a9","FS",2,"Free State",,"Free State","ZAF.2_1","ChIJGRTWM2HFjx4RRwqiTVWK9e0","FS",-28.681405065,26.6276264987157,2834714,"https://www.wikipedia.org","Wikipedia (2018)"
"fc94b052","GP",2,"Gauteng",,"Gauteng","ZAF.3_1","ChIJn3cRVJUSlR4R4jhUy8fnnm0","GP",-26.017630575,28.0120171106122,13399724,"https://www.wikipedia.org","Wikipedia (2018)"
"8db651f9","KZN",2,"KwaZulu-Natal",,"KwaZulu-Natal","ZAF.4_1","ChIJVQ7iWQ4Q8R4Rjdnka6d4YYI","KZN",-28.941996575,30.4719109322936,11065240,"https://www.wikipedia.org","Wikipedia (2018)"
"1f606999","LP",2,"Limpopo",,"Limpopo","ZAF.5_1","ChIJwTDNNhTJxh4RStzIZh49iWI","LP",-23.773815155,29.3417313899304,5799090,"https://www.wikipedia.org","Wikipedia (2018)"
"067b58d8","MP",2,"Mpumalanga",,"Mpumalanga","ZAF.6_1","ChIJPSAvTvpg6h4RhGvk9A3foGQ","MP",-25.74475479,30.1472057321668,4335964,"https://www.wikipedia.org","Wikipedia (2018)"
"b3329eb8","NW",2,"North West",,"North West","ZAF.7_1","ChIJ612A6EIKmB4R_5BkMf6qLUc","NW",-26.37113953,25.2372246753256,1193780,"https://www.wikipedia.org","Wikipedia (2018)"
"a9e84ac5","NC",2,"Northern Cape",,"Northern Cape","ZAF.8_1","ChIJbUtwf_UhJBwRkEyPkNb4AAM","NC",-28.85542965,22.0210707176521,3748435,"https://www.wikipedia.org","Wikipedia (2018)"
"32e8e3dd","WC",2,"Western Cape",,"Western Cape","ZAF.9_1","ChIJ841peohdzB0Ri6I2IY95juk","WC",-32.632915495,22.2253349616889,6279730,"https://www.wikipedia.org","Wikipedia (2018)"
