"id","country","state","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"AG","Switzerland","Aargau",47.449406,8.327495,671000,0.203,0.624,0.174,41.4,481,0.071
"AI","Switzerland","Appenzell Innerrhoden",47.328414,9.409647,16100,0.216,0.597,0.187,42.4,93.4,0.075
"AR","Switzerland","Appenzell Ausserrhoden",47.38271,9.27186,55200,0.202,0.606,0.192,41.3,227.2,0.092
"BE","Switzerland","Bern",46.916667,7.466667,1031100,0.191,0.604,0.206,43,176.5,0.092
"BL","Switzerland","Baselland",47.482779,7.742975,287000,0.192,0.591,0.217,43.8,554.5,0.086
"BS","Switzerland","Basel-Stadt",47.558395,7.573271,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"FR","Switzerland","Fribourg",46.718391,7.074008,315100,0.225,0.62,0.155,39.7,197.8,0.066
"GE","Switzerland","Geneve",46.195602,6.148113,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"GL","Switzerland","Glarus",47.04057,9.068036,40300,0.192,0.61,0.197,42.7,59.3,0.094
"GR","Switzerland","Graubunden",46.796756,10.305946,197900,0.181,0.61,0.209,43.7,27.9,0.088
"JU","Switzerland","Jura",47.350744,7.156107,73300,0.212,0.582,0.206,42.4,87.4,0.091
"LU","Switzerland","Luzern",47.083333,8.266667,406500,0.204,0.622,0.174,41.1,284.4,0.076
"NE","Switzerland","Neuchatel",46.995534,6.780126,178000,0.213,0.599,0.188,41.5,248.3,0.09
"NW","Switzerland","Nidwalden",46.95805,8.36609,43000,0.183,0.62,0.197,43.3,178,0.078
"OW","Switzerland","Obwalden",46.898509,8.250681,37600,0.203,0.614,0.183,42,78.2,0.074
"SG","Switzerland","St.Gallen",47.43162,9.39845,504700,0.206,0.614,0.18,41.3,258.7,0.077
"SH","Switzerland","Schaffhausen",47.71357,8.59167,81400,0.188,0.602,0.21,43.4,272.8,0.091
"SO","Switzerland","Solothurn",47.206649,7.516605,271400,0.191,0.616,0.193,42.8,343.4,0.09
"SZ","Switzerland","Schwyz",47.061787,8.756585,157300,0.195,0.63,0.174,42,184.8,0.068
"TG","Switzerland","Thurgau",47.55993,8.8998,273800,0.204,0.624,0.173,41.4,317.2,0.073
"TI","Switzerland","Ticino",46.009279,8.955576,353700,0.183,0.594,0.223,44.5,129,0.091
"UR","Switzerland","Uri",46.880422,8.644409,36300,0.203,0.597,0.201,42.5,34.3,0.099
"VD","Switzerland","Vaud",46.5369,6.58478,793100,0.22,0.616,0.164,40.1,281.1,0.073
"VS","Switzerland","Valais",46.209567,7.604659,341500,0.199,0.608,0.193,42.1,65.5,0.081
"ZG","Switzerland","Zug",47.157296,8.537294,125400,0.202,0.631,0.167,41.4,605.4,0.064
"ZH","Switzerland","Zurich",47.451542,8.564572,1504300,0.197,0.633,0.17,41,905.8,0.074
