"id","pop","pop_density","pop_14","pop_15_64","pop_65","pop_death_rate","state","lat","lng","pop_age"
"AG",671000,481,0.203,0.624,0.174,0.071,"Aargau",47.449406,8.327495,41.4
"AI",16100,93.4,0.216,0.597,0.187,0.075,"Appenzell Innerrhoden",47.328414,9.409647,42.4
"AR",55200,227.2,0.202,0.606,0.192,0.092,"Appenzell Ausserrhoden",47.38271,9.27186,41.3
"BE",1031100,176.5,0.191,0.604,0.206,0.092,"Bern",46.916667,7.466667,43
"BL",287000,554.5,0.192,0.591,0.217,0.086,"Baselland",47.482779,7.742975,43.8
"BS",193900,5247.8,0.171,0.629,0.2,0.11,"Basel-Stadt",47.558395,7.573271,43.1
"CH",8484100,212.1,0.2,0.617,0.183,0.079,NA,NA,NA,42.4
"FR",315100,197.8,0.225,0.62,0.155,0.066,"Fribourg",46.718391,7.074008,39.7
"GE",495200,2014.7,0.211,0.625,0.164,0.068,"Geneve",46.195602,6.148113,40.4
"GL",40300,59.3,0.192,0.61,0.197,0.094,"Glarus",47.04057,9.068036,42.7
"GR",197900,27.9,0.181,0.61,0.209,0.088,"Graubunden",46.796756,10.305946,43.7
"JU",73300,87.4,0.212,0.582,0.206,0.091,"Jura",47.350744,7.156107,42.4
"LU",406500,284.4,0.204,0.622,0.174,0.076,"Luzern",47.083333,8.266667,41.1
"NE",178000,248.3,0.213,0.599,0.188,0.09,"Neuchatel",46.995534,6.780126,41.5
"NW",43000,178,0.183,0.62,0.197,0.078,"Nidwalden",46.95805,8.36609,43.3
"OW",37600,78.2,0.203,0.614,0.183,0.074,"Obwalden",46.898509,8.250681,42
"SG",504700,258.7,0.206,0.614,0.18,0.077,"St.Gallen",47.43162,9.39845,41.3
"SH",81400,272.8,0.188,0.602,0.21,0.091,"Schaffhausen",47.71357,8.59167,43.4
"SO",271400,343.4,0.191,0.616,0.193,0.09,"Solothurn",47.206649,7.516605,42.8
"SZ",157300,184.8,0.195,0.63,0.174,0.068,"Schwyz",47.061787,8.756585,42
"TG",273800,317.2,0.204,0.624,0.173,0.073,"Thurgau",47.55993,8.8998,41.4
"TI",353700,129,0.183,0.594,0.223,0.091,"Ticino",46.009279,8.955576,44.5
"UR",36300,34.3,0.203,0.597,0.201,0.099,"Uri",46.880422,8.644409,42.5
"VD",793100,281.1,0.22,0.616,0.164,0.073,"Vaud",46.5369,6.58478,40.1
"VS",341500,65.5,0.199,0.608,0.193,0.081,"Valais",46.209567,7.604659,42.1
"ZG",125400,605.4,0.202,0.631,0.167,0.064,"Zug",47.157296,8.537294,41.4
"ZH",1504300,905.8,0.197,0.633,0.17,0.074,"Zurich",47.451542,8.564572,41
