"id","country","state","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Abruzzo","Italy","Abruzzo",42.35122196,13.39843823,1315196,0.126,0.639,0.236,45.9,120.69,0.0112
"Basilicata","Italy","Basilicata",40.63947052,15.80514834,567118,0.121,0.653,0.226,45.5,57.38,0.0111
"Calabria","Italy","Calabria",38.90597598,16.59440194,1956687,0.134,0.654,0.212,44.2,128.7,0.0101
"Campania","Italy","Campania",40.83956555,14.25084984,5826860,0.147,0.668,0.185,42.3,421.83,0.0092
"Emilia-Romagna","Italy","Emilia-Romagna",44.49436681,11.3417208,4452629,0.132,0.629,0.238,46.1,193.39,0.0112
"Friuli Venezia Giulia","Italy","Friuli Venezia Giulia",45.6494354,13.76813649,1215538,0.122,0.619,0.259,47.3,155.04,0.0119
"Lazio","Italy","Lazio",41.89277044,12.48366722,5896693,0.135,0.651,0.214,44.8,319.34,0.0097
"Liguria","Italy","Liguria",44.41149315,8.9326992,1556981,0.113,0.603,0.284,48.8,290,0.0143
"Lombardia","Italy","Lombardia",45.46679409,9.190347404,10036258,0.138,0.638,0.224,45,406.65,0.0099
"Marche","Italy","Marche",43.61675973,13.5188753,1531753,0.128,0.627,0.245,46.3,163.95,0.0112
"Molise","Italy","Molise",41.55774754,14.65916051,308493,0.115,0.643,0.242,46.5,70.32,0.0121
"P.A. Bolzano","Italy","P.A. Bolzano",46.49933453,11.35662422,527750,0.158,0.647,0.194,42.6,68.21,0.0083
"P.A. Trento","Italy","P.A. Trento",46.06893511,11.12123097,539898,0.145,0.638,0.217,44.4,84.55,0.0093
"Piemonte","Italy","Piemonte",45.0732745,7.680687483,4375865,0.126,0.622,0.253,46.8,171.9,0.0123
"Puglia","Italy","Puglia",41.12559576,16.86736689,4048242,0.133,0.65,0.217,44.4,207.39,0.0096
"Sardegna","Italy","Sardegna",39.21531192,9.110616306,1648176,0.114,0.654,0.232,46.4,68.02,0.0099
"Sicilia","Italy","Sicilia",38.11569725,13.3623567,5026989,0.14,0.652,0.208,43.7,193.67,0.0104
"Toscana","Italy","Toscana",43.76923077,11.25588885,3736968,0.125,0.622,0.252,46.8,159.75,0.0116
"Umbria","Italy","Umbria",43.10675841,12.38824698,884640,0.127,0.621,0.252,46.7,104.47,0.0114
"Valle d'Aosta","Italy","Valle d'Aosta",45.73750286,7.320149366,126202,0.134,0.631,0.235,45.9,38.89,0.0117
"Veneto","Italy","Veneto",45.43490485,12.33845213,4905037,0.135,0.639,0.226,45.4,263.87,0.01
