"id","country","state","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Alabama","US","Alabama",31.9311128071014,-84.1967854963768,4903185,NA,NA,NA,NA,NA,NA
"Alaska","US","Alaska",56.3735444048387,-136.429655945161,731545,NA,NA,NA,NA,NA,NA
"American Samoa","US","American Samoa",-14.271,-170.132,55641,NA,NA,NA,NA,NA,NA
"Arizona","US","Arizona",29.7140326252941,-98.3499107,7278717,NA,NA,NA,NA,NA,NA
"Arkansas","US","Arkansas",34.0050870684416,-90.033095715974,3017804,NA,NA,NA,NA,NA,NA
"California","US","California",36.5824962578333,-116.704307691667,39512223,NA,NA,NA,NA,NA,NA
"Colorado","US","Colorado",37.755611605,-102.289687233333,5758736,NA,NA,NA,NA,NA,NA
"Connecticut","US","Connecticut",33.290944112,-58.125463743,3565287,NA,NA,NA,NA,NA,NA
"Delaware","US","Delaware",23.465566094,-45.319942474,973764,NA,NA,NA,NA,NA,NA
"District of Columbia","US","District of Columbia",12.9680592433333,-25.67218664,705749,NA,NA,NA,NA,NA,NA
"Florida","US","Florida",28.1018924188406,-80.3036208973913,21477737,NA,NA,NA,NA,NA,NA
"Georgia","US","Georgia",32.4009727393168,-82.5392009829193,10617423,NA,NA,NA,NA,NA,NA
"Guam","US","Guam",13.4443,144.7937,164229,NA,NA,NA,NA,NA,NA
"Hawaii","US","Hawaii",15.0202021471429,-112.373740342857,1415872,NA,NA,NA,NA,NA,NA
"Idaho","US","Idaho",42.3389055515217,-109.483597747826,1787065,NA,NA,NA,NA,NA,NA
"Illinois","US","Illinois",39.0773942839423,-87.4633621836538,12671821,NA,NA,NA,NA,NA,NA
"Indiana","US","Indiana",38.9897499068085,-84.3841308225532,6732219,NA,NA,NA,NA,NA,NA
"Iowa","US","Iowa",41.1976345775248,-91.6147170586139,3155070,NA,NA,NA,NA,NA,NA
"Kansas","US","Kansas",37.7660260202804,-96.2511954286916,2913314,NA,NA,NA,NA,NA,NA
