"id","country","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Abbeville, South Carolina, US","US","South Carolina","Abbeville",34.22333378,-82.46170658,24527,NA,NA,NA,NA,NA,NA
"Acadia, Louisiana, US","US","Louisiana","Acadia",30.2950649,-92.41419698,62045,NA,NA,NA,NA,NA,NA
"Accomack, Virginia, US","US","Virginia","Accomack",37.76707161,-75.63234615,32316,NA,NA,NA,NA,NA,NA
"Ada, Idaho, US","US","Idaho","Ada",43.4526575,-116.2415516,481587,NA,NA,NA,NA,NA,NA
"Adair, Iowa, US","US","Iowa","Adair",41.33075609,-94.47105874,7152,NA,NA,NA,NA,NA,NA
"Adair, Kentucky, US","US","Kentucky","Adair",37.10459774,-85.28129668,19202,NA,NA,NA,NA,NA,NA
"Adair, Missouri, US","US","Missouri","Adair",40.19058551,-92.60078167,25343,NA,NA,NA,NA,NA,NA
"Adair, Oklahoma, US","US","Oklahoma","Adair",35.88494195,-94.65859267,22194,NA,NA,NA,NA,NA,NA
"Adams, Colorado, US","US","Colorado","Adams",39.87432092,-104.3362578,517421,NA,NA,NA,NA,NA,NA
"Adams, Idaho, US","US","Idaho","Adams",44.89333571,-116.4545247,4294,NA,NA,NA,NA,NA,NA
"Adams, Illinois, US","US","Illinois","Adams",39.98815591,-91.18786813,65435,NA,NA,NA,NA,NA,NA
"Adams, Indiana, US","US","Indiana","Adams",40.7457653,-84.93671406,35777,NA,NA,NA,NA,NA,NA
"Adams, Iowa, US","US","Iowa","Adams",41.02903567,-94.69932645,3602,NA,NA,NA,NA,NA,NA
"Adams, Mississippi, US","US","Mississippi","Adams",31.47669768,-91.35326037,30693,NA,NA,NA,NA,NA,NA
"Adams, Nebraska, US","US","Nebraska","Adams",40.5244942,-98.50117804,31363,NA,NA,NA,NA,NA,NA
"Adams, North Dakota, US","US","North Dakota","Adams",46.09686891,-102.5285397,2216,NA,NA,NA,NA,NA,NA
"Adams, Ohio, US","US","Ohio","Adams",38.84541072,-83.4718964,27698,NA,NA,NA,NA,NA,NA
"Adams, Pennsylvania, US","US","Pennsylvania","Adams",39.87140411,-77.21610347,103009,NA,NA,NA,NA,NA,NA
