"id","date","confirmed","recovered","deaths"
1,2020-01-23,,,
1,2020-01-24,,,
1,2020-01-25,,,
1,2020-01-26,,,
1,2020-01-27,,,
1,2020-01-28,,,
1,2020-01-29,,,
1,2020-01-30,,,
1,2020-01-31,4,,
1,2020-02-01,,,
1,2020-02-02,,,
1,2020-02-03,,,
1,2020-02-04,,,
1,2020-02-05,,,
1,2020-02-06,,,
1,2020-02-07,,,
1,2020-02-08,7,,
1,2020-02-09,,,
1,2020-02-10,,,
1,2020-02-11,,,
1,2020-02-12,,,
1,2020-02-13,,,
1,2020-02-14,,,
1,2020-02-15,,,
1,2020-02-16,8,,
1,2020-02-17,,,
1,2020-02-18,,,
1,2020-02-19,,,
1,2020-02-20,,,
1,2020-02-21,9,,
1,2020-02-22,,,
1,2020-02-23,,,
1,2020-02-24,10,,
1,2020-02-25,11,,
1,2020-02-26,12,,
1,2020-02-27,13,,
1,2020-02-28,,,
1,2020-02-29,15,,
1,2020-03-01,24,,
1,2020-03-02,,,
1,2020-03-03,33,,
1,2020-03-04,,,
1,2020-03-05,45,,
1,2020-03-06,51,,
1,2020-03-07,57,,
1,2020-03-08,62,,1
1,2020-03-09,77,,1
1,2020-03-10,,,
1,2020-03-11,103,,1
1,2020-03-12,138,,1
1,2020-03-13,176,,1
1,2020-03-14,193,,1
1,2020-03-15,249,,1
1,2020-03-16,324,,4
1,2020-03-17,424,,7
1,2020-03-18,569,,8
1,2020-03-19,846,,10
1,2020-03-20,971,,11
1,2020-03-21,1302,,15
1,2020-03-22,1430,,15
1,2020-03-23,1646,,18
1,2020-03-24,1959,,19
1,2020-03-25,3385,,22
1,2020-03-26,4018,230,24
1,2020-03-27,4675,256,35
1,2020-03-28,5386,502,41
1,2020-03-29,6255,522,42
1,2020-03-30,7424,1068,56
1,2020-03-31,8536,1254,63
1,2020-04-01,9595,1553,72
1,2020-04-02,11268,1983,138
1,2020-04-03,12519,,187
1,2020-04-04,13882,,231
1,2020-04-05,15496,2335,280
1,2020-04-06,16653,3616,323
1,2020-04-07,17883,,379
1,2020-04-08,19274,,434
1,2020-04-09,20748,,508
1,2020-04-10,22133,,568
1,2020-04-11,23301,,652
1,2020-04-12,24365,,716
1,2020-04-13,25663,,779
1,2020-04-14,27046,,902
1,2020-04-15,28364,,1009
1,2020-04-16,30081,,1191
1,2020-04-17,31872,,1306
1,2020-04-18,33340,11178,1464
1,2020-04-19,34776,11786,1577
1,2020-04-20,36822,12585,1687
1,2020-04-21,38412,13188,1831
1,2020-04-22,40179,13986,1971
1,2020-04-23,42099,14761,2143
1,2020-04-24,43877,15541,2299
1,2020-04-25,45341,16425,2461
1,2020-04-26,46884,17321,2555
1,2020-04-27,48489,18268,2701
1,2020-04-28,50015,19231,2853
1,2020-04-29,51587,20327,2990
1,2020-04-30,53225,21424,3176
1,2020-05-01,55050,22751,3382
1,2020-05-02,56703,23801,3556
1,2020-05-03,59463,24908,3671
1,2020-05-04,60761,26017,3843
1,2020-05-05,62035,26993,4031
1,2020-05-06,63484,28171,4220
1,2020-05-07,64910,29247,4395
1,2020-05-08,66422,30226,4556
1,2020-05-09,67690,31249,4679
1,2020-05-10,68836,32096,4857
1,2020-05-11,69969,32994,4979
1,2020-05-12,71144,34042,5155
1,2020-05-13,72265,35164,5288
1,2020-05-14,73476,36091,5456
1,2020-05-15,74602,36895,5546
1,2020-05-16,75853,37819,5663
1,2020-05-17,76991,38550,5766
1,2020-05-18,78061,39238,5826
1,2020-05-19,79101,40050,5895
1,2020-05-20,80112,40693,6013
1,2020-05-21,81313,41728,6135
1,2020-05-22,82469,42607,6232
1,2020-05-23,83610,43318,6335
1,2020-05-24,84688,43998,6404
1,2020-05-25,85700,44651,6525
1,2020-05-26,86636,45352,6619
1,2020-05-27,87508,46177,6745
1,2020-05-28,88501,46853,6857
1,2020-05-29,89407,47533,6959
1,2020-05-30,90179,48116,7053
1,2020-05-31,90936,48892,7275
1,2020-06-01,91694,49739,7306
1,2020-06-02,92399,50357,7375
1,2020-06-03,93074,51048,7478
1,2020-06-04,93715,51739,7617
1,2020-06-05,94324,52568,7683
1,2020-06-06,95046,53614,7750
1,2020-06-07,95688,54233,7776
1,2020-06-08,96233,54833,7811
1,2020-06-09,96642,55572,7871
1,2020-06-10,97114,56639,7933
1,2020-06-11,97519,57658,7968
1,2020-06-12,97932,58523,8021
1,2020-06-13,98399,59354,8079
1,2020-06-14,98776,60272,8118
1,2020-06-15,99136,61042,8147
1,2020-06-16,99456,61443,8185
1,2020-06-17,99842,62017,8226
1,2020-06-18,100209,62496,8272
1,2020-06-19,100618,63003,8318
1,2020-06-20,101008,63488,8381
1,2020-06-21,101326,63886,8398
1,2020-06-22,101626,64334,8404
1,2020-06-23,101952,64704,8422
1,2020-06-24,102231,65091,8451
1,2020-06-25,102611,65425,8471
1,2020-06-26,102783,65726,8475
1,2020-06-27,103021,65973,8482
1,2020-06-28,103239,66191,8488
1,2020-06-29,103907,67178,8532
1,2020-06-30,104193,67594,8556
1,2020-07-01,104193,67594,8559
1,2020-07-02,104760,68345,8606
1,2020-07-03,105079,68693,8627
1,2020-07-04,105305,68990,8638
1,2020-07-05,105524,69239,8648
1,2020-07-06,105923,69570,8657
1,2020-07-07,106155,69883,8675
1,2020-07-08,106422,70247,8701
1,2020-07-09,106793,70574,8712
1,2020-07-10,107114,70901,8723
1,2020-07-11,107335,71266,8737
1,2020-07-12,107579,71467,8747
1,2020-07-13,108144,71841,8753
1,2020-07-14,108475,72170,8761
1,2020-07-15,108816,72485,8773
1,2020-07-16,109253,72836,8790
1,2020-07-17,109658,96689,8802
1,2020-07-18,109988,96914,8811
1,2020-07-19,110327,97051,8815
1,2020-07-20,111113,97474,8821
1,2020-07-21,111684,97757,8825
1,2020-07-22,112227,98142,8833
1,2020-07-23,112659,98519,8837
1,2020-07-24,113193,98873,8844
1,2020-07-25,113543,99115,8848
1,2020-07-26,113898,99355,8852
1,2020-07-27,114584,99860,8863
1,2020-07-28,114980,100134,8874
1,2020-07-29,115392,100465,8881
1,2020-07-30,115785,100862,8891
1,2020-07-31,116298,101227,8897
1,2020-08-01,116585,101436,8903
1,2020-08-02,116870,101574,8907
1,2020-08-03,117017,101597,8909
1,2020-08-04,117777,102450,8920
1,2020-08-05,118172,102788,8924
1,2020-08-06,118546,103106,8928
1,2020-08-07,118970,103435,8932
1,2020-08-08,119206,103566,8938
1,2020-08-09,119436,103728,8943
1,2020-08-10,120117,106355,8949
1,2020-08-11,120406,106746,8953
1,2020-08-12,120829,107148,8968
1,2020-08-13,121234,107553,8977
1,2020-08-14,121652,107942,8982
1,2020-08-15,121889,108217,8986
1,2020-08-16,122087,108484,8988
1,2020-08-17,122872,109059,8994
1,2020-08-18,123154,109357,9007
1,2020-08-19,123490,109822,9012
1,2020-08-20,123873,110288,9016
1,2020-08-21,124372,110648,9026
1,2020-08-22,124629,110878,9033
1,2020-08-23,124896,111112,9035
1,2020-08-24,125646,111694,9045
1,2020-08-25,125969,112050,9052
1,2020-08-26,126417,112455,9056
1,2020-08-27,126848,112825,9064
1,2020-08-28,127310,113234,9075
1,2020-08-29,127673,113501,9075
1,2020-08-30,127940,113664,9079
1,2020-08-31,128948,114218,9088
1,2020-09-01,129425,114607,9094
1,2020-09-02,129923,115050,9097
1,2020-09-03,130493,115444,9103
1,2020-09-04,131124,115926,9104
1,2020-09-05,131495,116136,9106
1,2020-09-06,131895,116357,9107
1,2020-09-07,132142,116459,9108
1,2020-09-08,133748,117565,9115
1,2020-09-09,134294,118271,9117
1,2020-09-10,134924,118990,9125
1,2020-09-11,135626,119674,9126
1,2020-09-12,136141,120075,9132
1,2020-09-13,136659,120431,9133
1,2020-09-14,138010,121224,9141
1,2020-09-15,138803,121840,9150
1,2020-09-16,139747,122449,9155
1,2020-09-17,140867,123109,9162
1,2020-09-18,141911,123723,9167
1,2020-09-19,142774,124187,9173
1,2020-09-20,143649,124691,9179
1,2020-09-21,145415,125534,9190
1,2020-09-22,146663,126904,9196
1,2020-09-23,147753,127788,9205
1,2020-09-24,149094,128707,9211
1,2020-09-25,150456,129573,9217
1,2020-09-26,151671,130328,9224
1,2020-09-27,153125,131098,9229
1,2020-09-28,155301,132607,9239
1,2020-09-29,156961,133737,9252
1,2020-09-30,158758,134971,9258
1,2020-10-01,160535,136350,9280
1,2020-10-02,162659,137614,9370
1,2020-10-03,164471,138867,9423
1,2020-10-04,166156,140243,9442
1,2020-10-05,168960,142334,9465
1,2020-10-06,171323,143994,9491
1,2020-10-07,173123,145666,9502
1,2020-10-08,175559,147508,9515
1,2020-10-09,178117,149524,9545
1,2020-10-10,180179,151357,9568
1,2020-10-11,181864,153219,9573
1,2020-10-12,182839,154258,9589
1,2020-10-13,186881,157486,9613
1,2020-10-14,189385,159351,9623
1,2020-10-15,191730,161490,9658
1,2020-10-16,194106,163644,9681
1,2020-10-17,196321,165446,9704
1,2020-10-18,198148,167112,9718
1,2020-10-19,201437,169671,9736
1,2020-10-20,203688,171743,9751
1,2020-10-21,206360,173748,9786
1,2020-10-22,209148,175805,9819
1,2020-10-23,211732,177879,9844
1,2020-10-24,213959,179636,9876
1,2020-10-25,216104,181429,9899
1,2020-10-26,220213,184306,9926
1,2020-10-27,222887,186464,9954
1,2020-10-28,225586,188867,9982
1,2020-10-29,228542,191209,10024
1,2020-10-30,231999,193937,10060
1,2020-10-31,235444,195876,10085
1,2020-11-01,238688,197729,10127
1,2020-11-02,241961,200052,10153
1,2020-11-03,244935,203509,10224
1,2020-11-04,248218,206037,10281
1,2020-11-05,252140,207998,10326
1,2020-11-06,255809,211237,10380
1,2020-11-07,260055,213094,10434
1,2020-11-08,264649,215005,10465
1,2020-11-09,268735,218400,10507
1,2020-11-10,273037,221279,10575
1,2020-11-11,277596,223199,10628
1,2020-11-12,282577,226775,10711
1,2020-11-13,287318,230646,10771
1,2020-11-14,292585,232915,10833
1,2020-11-15,297390,235401,10895
1,2020-11-16,302192,240287,10968
1,2020-11-17,306468,244152,11025
1,2020-11-18,311109,248321,11123
1,2020-11-19,315751,252293,11202
1,2020-11-20,320719,256646,11271
1,2020-11-21,326424,260398,11343
1,2020-11-22,331842,264049,11390
1,2020-11-23,337555,269199,11453
1,2020-11-24,342444,273391,11549
1,2020-11-25,347466,277232,11641
1,2020-11-26,353097,280923,11728
1,2020-11-27,359064,286504,11822
1,2020-11-28,365560,290700,11915
1,2020-11-29,372036,294411,11988
1,2020-11-30,378139,299972,12053
1,2020-12-01,383468,304888,12134
1,2020-12-02,389775,309886,12248
1,2020-12-03,396268,314608,12330
1,2020-12-04,402568,320096,12418
1,2020-12-05,409567,324882,12527
1,2020-12-06,416554,329138,12612
1,2020-12-07,423053,338735,12695
1,2020-12-08,429034,344200,12784
1,2020-12-09,435329,350011,12900
1,2020-12-10,442068,355735,13024
1,2020-12-11,448839,362293,13166
1,2020-12-12,455549,368474,13292
1,2020-12-13,462129,373253,13386
1,2020-12-14,468860,379467,13465
1,2020-12-15,475212,385975,13569
1,2020-12-16,481628,391946,13708
1,2020-12-17,488636,398412,13824
1,2020-12-18,495343,405611,13947
1,2020-12-19,502238,411396,14089
1,2020-12-20,508931,416708,14168
1,2020-12-21,515312,423621,14235
1,2020-12-22,521508,431561,14328
1,2020-12-23,528353,438452,14497
1,2020-12-24,535149,444064,14649
1,2020-12-25,539241,444066,14734
1,2020-12-26,547370,448223,14901
1,2020-12-27,553273,457193,15005
1,2020-12-28,559063,465973,15118
1,2020-12-29,565504,477857,15274
1,2020-12-30,572981,484583,15368
1,2020-12-31,581427,489811,15498
1,2021-01-01,588939,492277,15632
1,2021-01-02,596376,495081,15715
1,2021-01-03,603513,504976,15755
1,2021-01-04,611424,517884,15962
1,2021-01-05,618871,523564,16118
1,2021-01-06,627243,531227,16254
1,2021-01-07,635583,538267,16463
1,2021-01-08,644349,545971,16590
1,2021-01-09,653014,552388,16726
1,2021-01-10,661334,558772,16849
1,2021-01-11,668183,568573,16965
1,2021-01-12,674470,576447,17111
1,2021-01-13,681330,584652,17260
1,2021-01-14,688895,593397,17414
1,2021-01-15,695704,601910,17606
1,2021-01-16,702767,608084,17758
1,2021-01-17,709847,615324,17915
1,2021-01-18,715072,623033,17995
1,2021-01-19,719751,630430,18139
1,2021-01-20,725495,638620,18334
1,2021-01-21,731450,645729,18491
1,2021-01-22,737407,652829,18697
1,2021-01-23,743058,658984,18843
1,2021-01-24,748381,664621,18962
1,2021-01-25,753011,671326,19106
1,2021-01-26,757022,678068,19269
1,2021-01-27,761226,683953,19399
1,2021-01-28,766103,689419,19527
1,2021-01-29,770793,695679,19662
1,2021-01-30,775456,700920,19802
1,2021-01-31,779853,705659,19891
1,2021-02-01,783589,711708,19994
1,2021-02-02,786417,716642,20057
