"iso_alpha_3","administrative_area_level","data_type","url","title","year","bibtype","author","institution","textVersion"
"AIA",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/av.html","CIA - Central Intelligence Agency","2020",,,,
"AIA",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/av.html","CIA - Central Intelligence Agency","2020",,,,
"AIA",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/av.html","CIA - Central Intelligence Agency","2020",,,,
"ALA",1,"population","https://www.wikipedia.org","Wikipedia","2019",,,,
"ALA",1,"latitude","https://www.wikipedia.org","Wikipedia","2019",,,,
"ALA",1,"longitude","https://www.wikipedia.org","Wikipedia","2019",,,,
"ANT",1,"population","https://www.wikipedia.org","Wikipedia","2010",,,,
"ANT",1,"latitude","https://www.geodatos.net/en/coordinates/netherlands-antilles","Geodatos","2020",,,,
"ANT",1,"longitude","https://www.geodatos.net/en/coordinates/netherlands-antilles","Geodatos","2020",,,,
"ASM",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"ASM",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"ATA",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ay.html","CIA - Central Intelligence Agency","2020",,,,
"ATA",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ay.html","CIA - Central Intelligence Agency","2020",,,,
"AUS",2,"population","https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3101.0Sep%202019?OpenDocument","Australian Bureau of Statistics","2019",,,,
"AUT",1,"deaths","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"confirmed","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"tests","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"recovered","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"hosp","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"icu","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",1,"vent","https://info.gesundheitsministerium.at/","Open Government Data, Austria","2020",,,,
"AUT",2,"latitude","https://www.wikipedia.org","Wikipedia","2020",,,,
"AUT",2,"longitude","https://www.wikipedia.org","Wikipedia","2020",,,,
"AUT",2,"population","https://www.wikipedia.org","Wikipedia","2017",,,,
"BEL",1,"confirmed","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",1,"hosp","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",1,"icu","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",1,"vent","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",1,"deaths","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",1,"tests","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",2,"population","https://statbel.fgov.be/en/themes/population/structure-population","Statbel, Belgium in Figures","2019",,,,
"BEL",2,"latitude","https://www.wikipedia.org","Wikipedia","2019",,,,
"BEL",2,"longitude","https://www.wikipedia.org","Wikipedia","2019",,,,
"BEL",2,"confirmed","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",2,"hosp","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",2,"icu","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",2,"vent","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BEL",2,"deaths","https://epistat.sciensano.be","Epistat, Belgian Infectious Diseases","2020",,,,
"BLM",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/tb.html","CIA - Central Intelligence Agency","2020",,,,
"BLM",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/tb.html","CIA - Central Intelligence Agency","2020",,,,
"BLM",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/tb.html","CIA - Central Intelligence Agency","2020",,,,
"BVT",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/bv.html","CIA - Central Intelligence Agency","2020",,,,
"BVT",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/bv.html","CIA - Central Intelligence Agency","2020",,,,
"CAN",1,"confirmed","https://health-infobase.canada.ca","Public Health Infobase, Government of Canada","2020",,,,
"CAN",1,"deaths","https://health-infobase.canada.ca","Public Health Infobase, Government of Canada","2020",,,,
